1,Bill Gates is the founder of Microsoft.,[],"[""not_founders('Microsoft_Redmond_campus', 'Bill_Gates') 1.0""]","['not_founders(""Microsoft_Redmond_campus"",""Bill_Gates"")']","['birthPlace(""Bill_Gates"",""Seattle"")', 'residence(""Bill_Gates"",""Medina,_Washington"")', 'founders(""Microsoft"",""Paul_Allen"")', 'keyPerson(""Berkshire_Hathaway"",""Bill_Gates"")', 'keyPerson(""Microsoft"",""Bill_Gates"")', 'keyPerson(""Microsoft"",""President_(corporate_title)"")', 'keyPerson(""Microsoft"",""Satya_Nadella"")', 'keyPerson(""Microsoft"",""John_W._Thompson"")', 'locationCity(""Microsoft"",""Redmond,_Washington"")', 'locationCity(""Microsoft"",""Microsoft_Redmond_campus"")', 'product(""Microsoft"",""Xbox"")', 'product(""Microsoft"",""Microsoft_Dynamics"")', 'product(""Microsoft"",""Skype"")', 'product(""Microsoft"",""Microsoft_Azure"")', 'product(""Microsoft"",""Microsoft_Mobile"")', 'product(""Microsoft"",""Microsoft_Surface"")', 'product(""Microsoft"",""Microsoft_Windows"")', 'product(""Microsoft"",""Microsoft_Visual_Studio"")', 'product(""Microsoft"",""Microsoft_Office"")', 'product(""Microsoft"",""List_of_Microsoft_software"")', 'product(""Microsoft"",""Microsoft_Servers"")', 'keyPerson(""Microsoft_Mobile"",""Terry_Myerson"")', 'location(""Microsoft_Mobile"",""Espoo"")', 'location(""Microsoft_Mobile"",""Finland"")', 'parentCompany(""Microsoft_Mobile"",""Microsoft"")', 'product(""Microsoft_Mobile"",""Mobile_app"")', 'product(""Microsoft_Mobile"",""Tablet_computer"")', 'product(""Microsoft_Mobile"",""Mobile_Phones"")', 'product(""Microsoft_Mobile"",""Smartphones"")', 'location(""Microsoft_Redmond_campus"",""Redmond,_Washington"")', 'occupation(""Paul_Allen"",""Microsoft"")', 'occupation(""Satya_Nadella"",""Microsoft_Corporation"")', 'occupation(""John_W._Thompson"",""Microsoft"")', 'not_founders(""Microsoft_Redmond_campus"",""Bill_Gates"")', 'not_founders(""Microsoft_Redmond_campus"",""President_(corporate_title)"")', 'not_founders(""Microsoft_Redmond_campus"",""Satya_Nadella"")', 'not_founders(""Microsoft_Redmond_campus"",""John_W._Thompson"")', 'not_founders(""Microsoft_Mobile"",""Paul_Allen"")', 'not_founders(""Microsoft_Mobile"",""John_W._Thompson"")']","[""founders('Microsoft', 'Paul_Allen') 1.0""]","[""not_founders('Microsoft_Redmond_campus', 'Satya_Nadella') 1.0"", ""not_founders('Microsoft_Mobile', 'Paul_Allen') 1.0"", ""not_founders('Microsoft_Redmond_campus', 'President_(corporate_title)') 1.0"", ""not_founders('Microsoft_Redmond_campus', 'Bill_Gates') 1.0"", ""not_founders('Microsoft_Mobile', 'John_W._Thompson') 1.0"", ""not_founders('Microsoft_Redmond_campus', 'John_W._Thompson') 1.0""]"
2,Steve Jobs is the founder of Apple.,[],[],[],"['birthPlace(""Steve_Jobs"",""San_Francisco"")', 'occupation(""Steve_Jobs"",""Pixar"")', 'occupation(""Steve_Jobs"",""Apple_Inc."")', 'occupation(""Steve_Jobs"",""NeXT"")', 'occupation(""Steve_Jobs"",""Steve_Jobs__1"")', 'founders(""Apple_Inc."",""Ronald_Wayne"")', 'founders(""Apple_Inc."",""Steve_Wozniak"")', 'foundedBy(""NeXT"",""Steve_Jobs"")', 'keyPerson(""Apple_Inc."",""Arthur_D._Levinson"")', 'keyPerson(""Apple_Inc."",""Jeff_Williams_(Apple)"")', 'keyPerson(""Apple_Inc."",""Luca_Maestri"")', 'keyPerson(""Apple_Inc."",""Tim_Cook"")', 'keyPerson(""Apple_Inc."",""Jonathan_Ive"")', 'keyPerson(""NeXT"",""Steve_Jobs"")', 'locationCity(""Apple_Inc."",""California"")', 'locationCity(""Apple_Inc."",""Apple_Campus"")', 'locationCity(""Apple_Inc."",""Cupertino,_California"")', 'product(""Apple_Inc."",""Apple_TV"")', 'product(""Apple_Inc."",""ILife"")', 'product(""Apple_Inc."",""Apple_Watch"")', 'product(""Apple_Inc."",""IOS"")', 'product(""Apple_Inc."",""MacOS"")', 'product(""Apple_Inc."",""Macintosh"")', 'product(""Apple_Inc."",""IPad"")', 'product(""Apple_Inc."",""IPhone"")', 'product(""Apple_Inc."",""IPod"")', 'product(""Apple_Inc."",""TvOS"")', 'product(""Apple_Inc."",""WatchOS"")', 'product(""Apple_Inc."",""IWork"")', 'not_founders(""NeXT"",""Steve_Jobs"")']","[""founders('Apple_Inc.', 'Steve_Wozniak') 1.0"", ""founders('Apple_Inc.', 'Ronald_Wayne') 1.0""]","[""not_founders('NeXT', 'Steve_Jobs') 1.0""]"
3,Larry Page is the founder of Google.,[],[],[],"['birthPlace(""Larry_Page"",""Michigan"")', 'birthPlace(""Larry_Page"",""East_Lansing,_Michigan"")', 'occupation(""Larry_Page"",""List_of_Internet_entrepreneurs"")', 'occupation(""Larry_Page"",""Computer_scientist"")', 'occupation(""Larry_Page"",""Larry_Page__1"")', 'residence(""Larry_Page"",""California"")', 'residence(""Larry_Page"",""Palo_Alto,_California"")', 'keyPerson(""Google"",""Sundar_Pichai"")', 'locationCity(""Google"",""California"")', 'locationCity(""Google"",""Mountain_View,_California"")', 'locationCity(""Google"",""Googleplex"")', 'parentCompany(""Google"",""Alphabet_Inc."")', 'product(""Google"",""List_of_Google_products"")', 'founders(""Google"",""Sergey_Brin"")', 'founders(""Alphabet_Inc."",""Larry_Page"")', 'keyPerson(""Alphabet_Inc."",""Larry_Page"")', 'occupation(""Sundar_Pichai"",""Google"")', 'product(""Alphabet_Inc."",""List_of_Google_products"")']","[""founders('Google', 'Sergey_Brin') 1.0"", ""founders('Alphabet_Inc.', 'Larry_Page') 1.0""]",[]
4,Sergey Brin is the founder of Google.,[],[],[],"['birthPlace(""Sergey_Brin"",""Moscow"")', 'birthPlace(""Sergey_Brin"",""Russian_Soviet_Federative_Socialist_Republic"")', 'birthPlace(""Sergey_Brin"",""Soviet_Union"")', 'residence(""Sergey_Brin"",""Los_Altos,_California"")', 'founders(""Google"",""Larry_Page"")', 'keyPerson(""Google"",""Sundar_Pichai"")', 'locationCity(""Google"",""California"")', 'locationCity(""Google"",""Mountain_View,_California"")', 'locationCity(""Google"",""Googleplex"")', 'parentCompany(""Google"",""Alphabet_Inc."")', 'product(""Google"",""List_of_Google_products"")', 'founders(""Alphabet_Inc."",""Sergey_Brin"")', 'keyPerson(""Alphabet_Inc."",""Sergey_Brin"")', 'occupation(""Sundar_Pichai"",""Google"")', 'owningCompany(""Alphabet_Inc."",""Sergey_Brin"")', 'product(""Alphabet_Inc."",""List_of_Google_products"")', 'founders(""Moscow"",""Sergey_Brin"")']","[""founders('Google', 'Larry_Page') 1.0"", ""founders('Alphabet_Inc.', 'Sergey_Brin') 1.0"", ""founders('Moscow', 'Sergey_Brin') 1.0""]",[]
5,Steve Wozniak is the founder of Apple.,"[""founders('Apple_Inc.', 'Steve_Wozniak') 1.0""]",[],"['founders(""Apple_Inc."",""Steve_Wozniak"")']","['birthPlace(""Steve_Wozniak"",""San_Jose,_California"")', 'birthPlace(""Steve_Wozniak"",""California"")', 'occupation(""Steve_Wozniak"",""Steve_Wozniak__1"")', 'occupation(""Steve_Wozniak"",""Electronic_engineering"")', 'occupation(""Steve_Wozniak"",""Programmer"")', 'keyPerson(""Apple_Inc."",""Arthur_D._Levinson"")', 'keyPerson(""Apple_Inc."",""Jeff_Williams_(Apple)"")', 'keyPerson(""Apple_Inc."",""Luca_Maestri"")', 'keyPerson(""Apple_Inc."",""Tim_Cook"")', 'keyPerson(""Apple_Inc."",""Jonathan_Ive"")', 'locationCity(""Apple_Inc."",""California"")', 'locationCity(""Apple_Inc."",""Apple_Campus"")', 'locationCity(""Apple_Inc."",""Cupertino,_California"")', 'product(""Apple_Inc."",""Apple_TV"")', 'product(""Apple_Inc."",""ILife"")', 'product(""Apple_Inc."",""Apple_Watch"")', 'product(""Apple_Inc."",""IOS"")', 'product(""Apple_Inc."",""MacOS"")', 'product(""Apple_Inc."",""Macintosh"")', 'product(""Apple_Inc."",""IPad"")', 'product(""Apple_Inc."",""IPhone"")', 'product(""Apple_Inc."",""IPod"")', 'product(""Apple_Inc."",""TvOS"")', 'product(""Apple_Inc."",""WatchOS"")', 'product(""Apple_Inc."",""IWork"")', 'founders(""Apple_Inc."",""Steve_Wozniak"")']","[""founders('Apple_Inc.', 'Steve_Wozniak') 1.0""]",[]
6,Paul Allen is the founder of Microsoft.,[],"[""not_founders('Microsoft_Mobile', 'Paul_Allen') 1.0""]","['not_founders(""Microsoft_Mobile"",""Paul_Allen"")']","['birthPlace(""Paul_Allen"",""Seattle"")', 'birthPlace(""Paul_Allen"",""Seattle,_Washington"")', 'occupation(""Paul_Allen"",""Portland_Trail_Blazers"")', 'occupation(""Paul_Allen"",""Allen_Institute_for_Brain_Science"")', 'occupation(""Paul_Allen"",""Allen_Institute_for_Cell_Science"")', 'occupation(""Paul_Allen"",""Microsoft"")', 'occupation(""Paul_Allen"",""Allen_Institute_for_Artificial_Intelligence"")', 'occupation(""Paul_Allen"",""Seattle_Seahawks"")', 'occupation(""Paul_Allen"",""Vulcan_Inc."")', 'occupation(""Paul_Allen"",""Seattle_Sounders"")', 'occupation(""Paul_Allen"",""Paul_Allen__1"")', 'residence(""Paul_Allen"",""Mercer_Island,_Washington"")', 'founders(""Allen_Institute_for_Brain_Science"",""Paul_Allen"")', 'founders(""Microsoft"",""Bill_Gates"")', 'founders(""Vulcan_Inc."",""Paul_Allen"")', 'foundedBy(""Allen_Institute_for_Cell_Science"",""Paul_Allen"")', 'foundedBy(""Allen_Institute_for_Artificial_Intelligence"",""Paul_Allen"")', 'keyPerson(""Microsoft"",""Bill_Gates"")', 'keyPerson(""Microsoft"",""President_(corporate_title)"")', 'keyPerson(""Microsoft"",""Satya_Nadella"")', 'keyPerson(""Microsoft"",""John_W._Thompson"")', 'locationCity(""Microsoft"",""Redmond,_Washington"")', 'locationCity(""Microsoft"",""Microsoft_Redmond_campus"")', 'product(""Microsoft"",""Xbox"")', 'product(""Microsoft"",""Microsoft_Dynamics"")', 'product(""Microsoft"",""Skype"")', 'product(""Microsoft"",""Microsoft_Azure"")', 'product(""Microsoft"",""Microsoft_Mobile"")', 'product(""Microsoft"",""Microsoft_Surface"")', 'product(""Microsoft"",""Microsoft_Windows"")', 'product(""Microsoft"",""Microsoft_Visual_Studio"")', 'product(""Microsoft"",""Microsoft_Office"")', 'product(""Microsoft"",""List_of_Microsoft_software"")', 'product(""Microsoft"",""Microsoft_Servers"")', 'keyPerson(""Microsoft_Mobile"",""Terry_Myerson"")', 'location(""Microsoft_Mobile"",""Espoo"")', 'location(""Microsoft_Mobile"",""Finland"")', 'parentCompany(""Microsoft_Mobile"",""Microsoft"")', 'product(""Microsoft_Mobile"",""Mobile_app"")', 'product(""Microsoft_Mobile"",""Tablet_computer"")', 'product(""Microsoft_Mobile"",""Mobile_Phones"")', 'product(""Microsoft_Mobile"",""Smartphones"")', 'location(""Microsoft_Redmond_campus"",""Redmond,_Washington"")', 'occupation(""Satya_Nadella"",""Microsoft_Corporation"")', 'occupation(""John_W._Thompson"",""Microsoft"")', 'not_founders(""Microsoft_Redmond_campus"",""Bill_Gates"")', 'not_founders(""Microsoft_Redmond_campus"",""President_(corporate_title)"")', 'not_founders(""Microsoft_Redmond_campus"",""Satya_Nadella"")', 'not_founders(""Microsoft_Redmond_campus"",""John_W._Thompson"")', 'not_founders(""Portland_Trail_Blazers"",""Paul_Allen"")', 'not_founders(""Allen_Institute_for_Cell_Science"",""Paul_Allen"")', 'not_founders(""Microsoft_Mobile"",""Paul_Allen"")', 'not_founders(""Microsoft_Mobile"",""John_W._Thompson"")', 'founders(""Allen_Institute_for_Cell_Science"",""Paul_Allen"")', 'founders(""Allen_Institute_for_Artificial_Intelligence"",""Paul_Allen"")', 'founders(""Seattle_Seahawks"",""Paul_Allen"")']","[""founders('Allen_Institute_for_Artificial_Intelligence', 'Paul_Allen') 1.0"", ""founders('Allen_Institute_for_Cell_Science', 'Paul_Allen') 1.0"", ""founders('Allen_Institute_for_Brain_Science', 'Paul_Allen') 1.0"", ""founders('Seattle_Seahawks', 'Paul_Allen') 1.0"", ""founders('Vulcan_Inc.', 'Paul_Allen') 1.0"", ""founders('Microsoft', 'Bill_Gates') 1.0""]","[""not_founders('Allen_Institute_for_Cell_Science', 'Paul_Allen') 1.0"", ""not_founders('Portland_Trail_Blazers', 'Paul_Allen') 1.0"", ""not_founders('Microsoft_Redmond_campus', 'Satya_Nadella') 1.0"", ""not_founders('Microsoft_Mobile', 'Paul_Allen') 1.0"", ""not_founders('Microsoft_Redmond_campus', 'President_(corporate_title)') 1.0"", ""not_founders('Microsoft_Redmond_campus', 'Bill_Gates') 1.0"", ""not_founders('Microsoft_Mobile', 'John_W._Thompson') 1.0"", ""not_founders('Microsoft_Redmond_campus', 'John_W._Thompson') 1.0""]"
7,Mark ZuckerBerg is the founder of Facebook.,[],"[""not_founders('Facebook', 'Mark_Zuckerberg') 1.0""]","['not_founders(""Facebook"",""Mark_Zuckerberg"")']","['birthPlace(""Mark_Zuckerberg"",""White_Plains,_New_York"")', 'occupation(""Mark_Zuckerberg"",""Mark_Zuckerberg__1"")', 'residence(""Mark_Zuckerberg"",""Palo_Alto,_California"")', 'foundedBy(""Facebook"",""Eduardo_Saverin"")', 'foundedBy(""Facebook"",""Andrew_McCollum"")', 'foundedBy(""Facebook"",""Chris_Hughes"")', 'foundedBy(""Facebook"",""Dustin_Moskovitz"")', 'foundedBy(""Facebook"",""Mark_Zuckerberg"")', 'keyPerson(""Facebook"",""Sheryl_Sandberg"")', 'keyPerson(""Facebook"",""Chief_operating_officer"")', 'keyPerson(""Facebook"",""CEO"")', 'keyPerson(""Facebook"",""Chairman"")', 'keyPerson(""Facebook"",""Mark_Zuckerberg"")', 'location(""Facebook"",""Menlo_Park,_California"")', 'occupation(""Andrew_McCollum"",""Facebook"")', 'parentCompany(""Oculus_VR"",""Facebook"")', 'not_founders(""Facebook"",""Mark_Zuckerberg"")', 'not_founders(""Facebook"",""Michael_Abrash"")', 'not_founders(""Facebook"",""Brendan_Iribe"")', 'not_founders(""Facebook"",""John_D._Carmack"")', 'not_founders(""Facebook"",""Andrew_McCollum"")']",[],"[""not_founders('Facebook', 'Michael_Abrash') 1.0"", ""not_founders('Facebook', 'Andrew_McCollum') 1.0"", ""not_founders('Facebook', 'Brendan_Iribe') 1.0"", ""not_founders('Facebook', 'Mark_Zuckerberg') 1.0"", ""not_founders('Facebook', 'John_D._Carmack') 1.0""]"
8,Elon Musk is the founder of Tesla.,[],"[""not_founders('Tesla_Motors', 'Elon_Musk') 1.0""]","['not_founders(""Tesla_Motors"",""Elon_Musk"")']","['birthPlace(""Elon_Musk"",""Pretoria"")', 'birthPlace(""Elon_Musk"",""South_Africa"")', 'birthPlace(""Elon_Musk"",""Transvaal_Province"")', 'occupation(""Elon_Musk"",""Elon_Musk__1"")', 'residence(""Elon_Musk"",""California"")', 'residence(""Elon_Musk"",""Los_Angeles"")', 'residence(""Elon_Musk"",""Bel_Air,_Los_Angeles"")', 'founders(""Tesla_Motors"",""JB_Straubel"")', 'founders(""Tesla_Motors"",""Martin_Eberhard"")', 'foundedBy(""PayPal"",""Elon_Musk"")', 'foundedBy(""SpaceX"",""Elon_Musk"")', 'keyPerson(""Tesla_Motors"",""JB_Straubel"")', 'keyPerson(""Tesla_Motors"",""Elon_Musk"")', 'keyPerson(""SolarCity"",""Elon_Musk"")', 'keyPerson(""SpaceX"",""Elon_Musk"")', 'product(""Tesla_Motors"",""Electric_car"")', 'product(""Tesla_Motors"",""Tesla_Powerwall"")', 'not_founders(""Tesla_Motors"",""Elon_Musk"")', 'not_founders(""SolarCity"",""Elon_Musk"")', 'not_founders(""SpaceX"",""Elon_Musk"")', 'founders(""Pretoria"",""Elon_Musk"")']","[""founders('Tesla_Motors', 'Martin_Eberhard') 1.0"", ""founders('Tesla_Motors', 'JB_Straubel') 1.0"", ""founders('Pretoria', 'Elon_Musk') 1.0""]","[""not_founders('SolarCity', 'Elon_Musk') 1.0"", ""not_founders('Tesla_Motors', 'Elon_Musk') 1.0"", ""not_founders('SpaceX', 'Elon_Musk') 1.0""]"
9,Elon Musk is the founder of SpaceX.,[],"[""not_founders('SpaceX', 'Elon_Musk') 1.0""]","['not_founders(""SpaceX"",""Elon_Musk"")']","['birthPlace(""Elon_Musk"",""Pretoria"")', 'birthPlace(""Elon_Musk"",""South_Africa"")', 'birthPlace(""Elon_Musk"",""Transvaal_Province"")', 'occupation(""Elon_Musk"",""Elon_Musk__1"")', 'residence(""Elon_Musk"",""California"")', 'residence(""Elon_Musk"",""Los_Angeles"")', 'residence(""Elon_Musk"",""Bel_Air,_Los_Angeles"")', 'founders(""Tesla_Motors"",""Elon_Musk"")', 'foundedBy(""PayPal"",""Elon_Musk"")', 'foundedBy(""SpaceX"",""Elon_Musk"")', 'keyPerson(""Tesla_Motors"",""Elon_Musk"")', 'keyPerson(""SolarCity"",""Elon_Musk"")', 'keyPerson(""SpaceX"",""President_(corporate_title)"")', 'keyPerson(""SpaceX"",""Chief_operating_officer"")', 'keyPerson(""SpaceX"",""Chief_technology_officer"")', 'keyPerson(""SpaceX"",""Chief_executive_officer"")', 'keyPerson(""SpaceX"",""Gwynne_Shotwell"")', 'keyPerson(""SpaceX"",""Tom_Mueller"")', 'keyPerson(""SpaceX"",""Elon_Musk"")', 'locationCity(""SpaceX"",""California"")', 'locationCity(""SpaceX"",""United_States"")', 'locationCity(""SpaceX"",""Hawthorne,_California"")', 'product(""SpaceX"",""Falcon_9"")', 'product(""SpaceX"",""Dragon_(spacecraft)"")', 'not_founders(""Tesla_Motors"",""Elon_Musk"")', 'not_founders(""SolarCity"",""Elon_Musk"")', 'not_founders(""SpaceX"",""Elon_Musk"")', 'founders(""Pretoria"",""Elon_Musk"")']","[""founders('Pretoria', 'Elon_Musk') 1.0"", ""founders('Tesla_Motors', 'Elon_Musk') 1.0""]","[""not_founders('SolarCity', 'Elon_Musk') 1.0"", ""not_founders('Tesla_Motors', 'Elon_Musk') 1.0"", ""not_founders('SpaceX', 'Elon_Musk') 1.0""]"
10,Elon Musk is the founder of Paypal.,[],[],[],"['birthPlace(""Elon_Musk"",""Pretoria"")', 'birthPlace(""Elon_Musk"",""South_Africa"")', 'birthPlace(""Elon_Musk"",""Transvaal_Province"")', 'occupation(""Elon_Musk"",""Elon_Musk__1"")', 'residence(""Elon_Musk"",""California"")', 'residence(""Elon_Musk"",""Los_Angeles"")', 'residence(""Elon_Musk"",""Bel_Air,_Los_Angeles"")', 'founders(""Tesla_Motors"",""Elon_Musk"")', 'foundedBy(""PayPal"",""Ken_Howery"")', 'foundedBy(""PayPal"",""Luke_Nosek"")', 'foundedBy(""PayPal"",""Max_Levchin"")', 'foundedBy(""PayPal"",""Peter_Thiel"")', 'foundedBy(""PayPal"",""Elon_Musk"")', 'foundedBy(""SpaceX"",""Elon_Musk"")', 'keyPerson(""Tesla_Motors"",""Elon_Musk"")', 'keyPerson(""SolarCity"",""Elon_Musk"")', 'keyPerson(""SpaceX"",""Elon_Musk"")', 'location(""PayPal"",""San_Jose,_California"")', 'parentCompany(""PayPal"",""EBay"")', 'product(""PayPal"",""Payment_system"")', 'not_founders(""Tesla_Motors"",""Elon_Musk"")', 'not_founders(""SolarCity"",""Elon_Musk"")', 'not_founders(""SpaceX"",""Elon_Musk"")', 'founders(""Pretoria"",""Elon_Musk"")']","[""founders('Tesla_Motors', 'Elon_Musk') 1.0"", ""founders('Pretoria', 'Elon_Musk') 1.0""]","[""not_founders('SolarCity', 'Elon_Musk') 1.0"", ""not_founders('Tesla_Motors', 'Elon_Musk') 1.0"", ""not_founders('SpaceX', 'Elon_Musk') 1.0""]"
21,Jeff Bezos is the founder of Amazon.,[],"[""not_founders('Amazon.com', 'Jeff_Bezos') 1.0""]","['not_founders(""Amazon.com"",""Jeff_Bezos"")']","['birthPlace(""Jeff_Bezos"",""Albuquerque,_New_Mexico"")', 'occupation(""Jeff_Bezos"",""Jeff_Bezos__1"")', 'occupation(""Jeff_Bezos"",""Amazon.com"")', 'residence(""Jeff_Bezos"",""Seattle,_Washington"")', 'foundedBy(""Amazon.com"",""Jeff_Bezos"")', 'keyPerson(""Amazon.com"",""Jeff_Bezos"")', 'keyPerson(""Amazon.com"",""Werner_Vogels"")', 'location(""Amazon.com"",""Seattle"")', 'location(""Amazon.com"",""Washington_(state)"")', 'product(""Amazon.com"",""Audible.com"")', 'product(""Amazon.com"",""Amazon_Web_Services"")', 'product(""Amazon.com"",""Twitch.tv"")', 'product(""Amazon.com"",""Askville"")', 'product(""Amazon.com"",""ComiXology"")', 'product(""Amazon.com"",""Amazon_Appstore"")', 'product(""Amazon.com"",""Amazon_Studios"")', 'product(""Amazon.com"",""Kindle_Fire"")', 'product(""Amazon.com"",""Amazon_Instant_Video_UK"")', 'product(""Amazon.com"",""Woot"")', 'product(""Amazon.com"",""Amazon_Video"")', 'product(""Amazon.com"",""Amazon_Kindle"")', 'product(""Amazon.com"",""Lab126"")', 'product(""Amazon.com"",""Amazon_Echo"")', 'product(""Amazon.com"",""Amazon_Game_Studios"")', 'product(""Amazon.com"",""Amazon_Instant_Video_German"")', 'product(""Amazon.com"",""The_Book_Depository"")', 'parentCompany(""Zappos"",""Amazon.com"")', 'owningCompany(""Zappos"",""Amazon.com"")', 'owningCompany(""ComiXology"",""Amazon.com"")', 'owningCompany(""Alexa_Internet"",""Amazon.com"")', 'parentCompany(""Amazon_Studios"",""Amazon.com"")', 'parentCompany(""Amazon_Instant_Video_UK"",""Amazon.com,_Inc."")', 'parentCompany(""A9.com"",""Amazon.com"")', 'parentCompany(""Woot"",""Amazon.com"")', 'parentCompany(""Amazon_Video"",""Amazon.com"")', 'parentCompany(""Lab126"",""Amazon.com"")', 'not_founders(""Amazon.com"",""Jeff_Bezos"")', 'not_founders(""Zappos"",""Jeff_Bezos"")', 'not_founders(""Amazon_Studios"",""Jeff_Bezos"")', 'not_founders(""A9.com"",""Jeff_Bezos"")', 'not_founders(""Woot"",""Jeff_Bezos"")', 'not_founders(""Amazon_Video"",""Jeff_Bezos"")', 'not_founders(""Lab126"",""Jeff_Bezos"")']",[],"[""not_founders('Amazon_Video', 'Jeff_Bezos') 1.0"", ""not_founders('Amazon_Studios', 'Jeff_Bezos') 1.0"", ""not_founders('Amazon.com', 'Jeff_Bezos') 1.0"", ""not_founders('Woot', 'Jeff_Bezos') 1.0"", ""not_founders('Lab126', 'Jeff_Bezos') 1.0"", ""not_founders('Zappos', 'Jeff_Bezos') 1.0"", ""not_founders('A9.com', 'Jeff_Bezos') 1.0""]"
22,Gordon Moore is the founder of Intel.,[],[],[],"['birthPlace(""Gordon_Moore"",""California"")', 'birthPlace(""Gordon_Moore"",""San_Francisco"")', 'founders(""Intel"",""Robert_Noyce"")', 'keyPerson(""Intel"",""Brian_Krzanich"")', 'keyPerson(""Intel"",""Gordon_Moore"")', 'keyPerson(""Intel"",""Andy_Bryant"")', 'product(""Intel"",""Mobile_phones"")', 'product(""Intel"",""Bluetooth"")', 'product(""Intel"",""Central_processing_unit"")', 'product(""Intel"",""Motherboard"")', 'product(""Intel"",""Network_interface_controller"")', 'product(""Intel"",""Flash_memory"")', 'product(""Intel"",""Microprocessor"")', 'product(""Intel"",""Solid_state_drive"")', 'occupation(""Brian_Krzanich"",""Intel"")', 'occupation(""Robert_Noyce"",""Intel"")', 'occupation(""Andy_Bryant"",""Intel"")']","[""founders('Intel', 'Robert_Noyce') 1.0""]",[]
23,Jack Dorsey is the founder of Twitter.,[],[],[],"['birthPlace(""Jack_Dorsey"",""Missouri"")', 'birthPlace(""Jack_Dorsey"",""St._Louis,_Missouri"")', 'occupation(""Jack_Dorsey"",""CEO"")', 'occupation(""Jack_Dorsey"",""Twitter"")', 'occupation(""Jack_Dorsey"",""Jack_Dorsey__1"")', 'residence(""Jack_Dorsey"",""San_Francisco,_California"")', 'foundedBy(""Twitter"",""Noah_Glass"")', 'foundedBy(""Twitter"",""Evan_Williams_(Internet_entrepreneur)"")', 'foundedBy(""Twitter"",""Jack_Dorsey"")', 'foundedBy(""Twitter"",""Biz_Stone"")', 'locationCity(""Twitter"",""California"")', 'locationCity(""Twitter"",""San_Francisco"")', 'occupation(""Dick_Costolo"",""Twitter"")', 'occupation(""Omid_Kordestani"",""Twitter"")', 'founders(""Twitter"",""Biz_Stone"")']","[""founders('Twitter', 'Biz_Stone') 1.0""]",[]
24,Diane Greene is the founder of VMWare.,[],[],[],"['occupation(""Diane_Greene"",""Google"")', 'occupation(""Diane_Greene"",""Intuit"")', 'occupation(""Diane_Greene"",""Diane_Greene__1"")', 'foundedBy(""VMware"",""Mendel_Rosenblum"")', 'foundedBy(""VMware"",""Diane_Greene"")', 'foundedBy(""VMware"",""Edouard_Bugnion"")', 'parentCompany(""VMware"",""Dell_Technologies"")', 'product(""VMware"",""VMware_ESX"")', 'product(""VMware"",""VMware_Fusion"")', 'product(""VMware"",""VMware_Server"")', 'product(""VMware"",""VMware_Workstation"")', 'product(""VMware"",""VMware_ThinApp"")', 'product(""VMware"",""VMware_vSphere"")', 'product(""VMware"",""VMware_NSX"")', 'product(""VMware"",""VMware_Player"")', 'product(""VMware"",""VMware_View"")', 'product(""VMware"",""VMware_Infrastructure"")', 'not_founders(""Intuit"",""Diane_Greene"")']",[],"[""not_founders('Intuit', 'Diane_Greene') 1.0""]"
25,Travis Kalanick is the founder of Uber.,[],[],[],"['birthPlace(""Travis_Kalanick"",""Los_Angeles"")', 'occupation(""Travis_Kalanick"",""Entrepreneur"")', 'occupation(""Travis_Kalanick"",""Travis_Kalanick__1"")', 'residence(""Travis_Kalanick"",""San_Francisco"")', 'founders(""Uber_(company)"",""Alexander', 'keyPerson(""Uber_(company)"",""Travis_Kalanick"")', 'keyPerson(""Uber_(company)"",""Ryan_Graves"")', 'locationCity(""Uber_(company)"",""California"")', 'locationCity(""Uber_(company)"",""San_Francisco"")']","[""founders('Uber_(company)', 'Alexander Hank Garrett Camp') 1.0""]",[]
