1,Bill Gates is the founder of Microsoft.,[],"[""not_founders('Microsoft_Redmond_campus', 'Bill_Gates') 1.0""]","['not_founders(""Microsoft_Redmond_campus"",""Bill_Gates"")']","['birthPlace(""Bill_Gates"",""Seattle"")', 'residence(""Bill_Gates"",""Medina,_Washington"")', 'founders(""Microsoft"",""Paul_Allen"")', 'keyPerson(""Berkshire_Hathaway"",""Bill_Gates"")', 'keyPerson(""Microsoft"",""Bill_Gates"")', 'keyPerson(""Microsoft"",""President_(corporate_title)"")', 'keyPerson(""Microsoft"",""Satya_Nadella"")', 'keyPerson(""Microsoft"",""John_W._Thompson"")', 'locationCity(""Microsoft"",""Redmond,_Washington"")', 'locationCity(""Microsoft"",""Microsoft_Redmond_campus"")', 'product(""Microsoft"",""Xbox"")', 'product(""Microsoft"",""Microsoft_Dynamics"")', 'product(""Microsoft"",""Skype"")', 'product(""Microsoft"",""Microsoft_Azure"")', 'product(""Microsoft"",""Microsoft_Mobile"")', 'product(""Microsoft"",""Microsoft_Surface"")', 'product(""Microsoft"",""Microsoft_Windows"")', 'product(""Microsoft"",""Microsoft_Visual_Studio"")', 'product(""Microsoft"",""Microsoft_Office"")', 'product(""Microsoft"",""List_of_Microsoft_software"")', 'product(""Microsoft"",""Microsoft_Servers"")', 'keyPerson(""Microsoft_Mobile"",""Terry_Myerson"")', 'location(""Microsoft_Mobile"",""Espoo"")', 'location(""Microsoft_Mobile"",""Finland"")', 'parentCompany(""Microsoft_Mobile"",""Microsoft"")', 'product(""Microsoft_Mobile"",""Mobile_app"")', 'product(""Microsoft_Mobile"",""Tablet_computer"")', 'product(""Microsoft_Mobile"",""Mobile_Phones"")', 'product(""Microsoft_Mobile"",""Smartphones"")', 'location(""Microsoft_Redmond_campus"",""Redmond,_Washington"")', 'occupation(""Paul_Allen"",""Microsoft"")', 'occupation(""Satya_Nadella"",""Microsoft_Corporation"")', 'occupation(""John_W._Thompson"",""Microsoft"")', 'not_founders(""Microsoft_Redmond_campus"",""Bill_Gates"")', 'not_founders(""Microsoft_Redmond_campus"",""President_(corporate_title)"")', 'not_founders(""Microsoft_Redmond_campus"",""Satya_Nadella"")', 'not_founders(""Microsoft_Redmond_campus"",""John_W._Thompson"")', 'not_founders(""Microsoft_Mobile"",""Paul_Allen"")', 'not_founders(""Microsoft_Mobile"",""John_W._Thompson"")']","[""founders('Microsoft', 'Paul_Allen') 1.0""]","[""not_founders('Microsoft_Redmond_campus', 'Satya_Nadella') 1.0"", ""not_founders('Microsoft_Mobile', 'Paul_Allen') 1.0"", ""not_founders('Microsoft_Redmond_campus', 'President_(corporate_title)') 1.0"", ""not_founders('Microsoft_Redmond_campus', 'Bill_Gates') 1.0"", ""not_founders('Microsoft_Mobile', 'John_W._Thompson') 1.0"", ""not_founders('Microsoft_Redmond_campus', 'John_W._Thompson') 1.0""]"
11,Bill Gates is the founder of Apple.,[],[],[],"['birthPlace(""Bill_Gates"",""Seattle"")', 'residence(""Bill_Gates"",""Medina,_Washington"")', 'founders(""Microsoft"",""Bill_Gates"")', 'keyPerson(""Berkshire_Hathaway"",""Bill_Gates"")', 'keyPerson(""Microsoft"",""Bill_Gates"")', 'keyPerson(""Apple_Inc."",""Arthur_D._Levinson"")', 'keyPerson(""Apple_Inc."",""Jeff_Williams_(Apple)"")', 'keyPerson(""Apple_Inc."",""Luca_Maestri"")', 'keyPerson(""Apple_Inc."",""Tim_Cook"")', 'keyPerson(""Apple_Inc."",""Jonathan_Ive"")', 'locationCity(""Apple_Inc."",""California"")', 'locationCity(""Apple_Inc."",""Apple_Campus"")', 'locationCity(""Apple_Inc."",""Cupertino,_California"")', 'product(""Apple_Inc."",""Apple_TV"")', 'product(""Apple_Inc."",""ILife"")', 'product(""Apple_Inc."",""Apple_Watch"")', 'product(""Apple_Inc."",""IOS"")', 'product(""Apple_Inc."",""MacOS"")', 'product(""Apple_Inc."",""Macintosh"")', 'product(""Apple_Inc."",""IPad"")', 'product(""Apple_Inc."",""IPhone"")', 'product(""Apple_Inc."",""IPod"")', 'product(""Apple_Inc."",""TvOS"")', 'product(""Apple_Inc."",""WatchOS"")', 'product(""Apple_Inc."",""IWork"")']","[""founders('Microsoft', 'Bill_Gates') 1.0""]",[]
12,Steve Jobs is the founder of Microsoft.,[],[],[],"['birthPlace(""Steve_Jobs"",""San_Francisco"")', 'occupation(""Steve_Jobs"",""Pixar"")', 'occupation(""Steve_Jobs"",""Apple_Inc."")', 'occupation(""Steve_Jobs"",""NeXT"")', 'occupation(""Steve_Jobs"",""Steve_Jobs__1"")', 'founders(""Apple_Inc."",""Steve_Jobs"")', 'foundedBy(""NeXT"",""Steve_Jobs"")', 'keyPerson(""NeXT"",""Steve_Jobs"")', 'keyPerson(""Microsoft"",""Bill_Gates"")', 'keyPerson(""Microsoft"",""President_(corporate_title)"")', 'keyPerson(""Microsoft"",""Satya_Nadella"")', 'keyPerson(""Microsoft"",""John_W._Thompson"")', 'locationCity(""Microsoft"",""Redmond,_Washington"")', 'locationCity(""Microsoft"",""Microsoft_Redmond_campus"")', 'product(""Microsoft"",""Xbox"")', 'product(""Microsoft"",""Microsoft_Dynamics"")', 'product(""Microsoft"",""Skype"")', 'product(""Microsoft"",""Microsoft_Azure"")', 'product(""Microsoft"",""Microsoft_Mobile"")', 'product(""Microsoft"",""Microsoft_Surface"")', 'product(""Microsoft"",""Microsoft_Windows"")', 'product(""Microsoft"",""Microsoft_Visual_Studio"")', 'product(""Microsoft"",""Microsoft_Office"")', 'product(""Microsoft"",""List_of_Microsoft_software"")', 'product(""Microsoft"",""Microsoft_Servers"")', 'founders(""Microsoft"",""Bill_Gates"")', 'keyPerson(""Microsoft_Mobile"",""Terry_Myerson"")', 'location(""Microsoft_Mobile"",""Espoo"")', 'location(""Microsoft_Mobile"",""Finland"")', 'parentCompany(""Microsoft_Mobile"",""Microsoft"")', 'product(""Microsoft_Mobile"",""Mobile_app"")', 'product(""Microsoft_Mobile"",""Tablet_computer"")', 'product(""Microsoft_Mobile"",""Mobile_Phones"")', 'product(""Microsoft_Mobile"",""Smartphones"")', 'founders(""Microsoft"",""Paul_Allen"")', 'location(""Microsoft_Redmond_campus"",""Redmond,_Washington"")', 'occupation(""Paul_Allen"",""Microsoft"")', 'occupation(""Satya_Nadella"",""Microsoft_Corporation"")', 'occupation(""John_W._Thompson"",""Microsoft"")', 'not_founders(""NeXT"",""Steve_Jobs"")', 'not_founders(""Microsoft_Redmond_campus"",""Bill_Gates"")', 'not_founders(""Microsoft_Redmond_campus"",""President_(corporate_title)"")', 'not_founders(""Microsoft_Redmond_campus"",""Satya_Nadella"")', 'not_founders(""Microsoft_Redmond_campus"",""John_W._Thompson"")', 'not_founders(""Microsoft_Mobile"",""Paul_Allen"")', 'not_founders(""Microsoft_Mobile"",""John_W._Thompson"")']","[""founders('Apple_Inc.', 'Steve_Jobs') 1.0"", ""founders('Microsoft', 'Paul_Allen') 1.0"", ""founders('Microsoft', 'Bill_Gates') 1.0""]","[""not_founders('Microsoft_Redmond_campus', 'Satya_Nadella') 1.0"", ""not_founders('Microsoft_Redmond_campus', 'John_W._Thompson') 1.0"", ""not_founders('Microsoft_Redmond_campus', 'President_(corporate_title)') 1.0"", ""not_founders('NeXT', 'Steve_Jobs') 1.0"", ""not_founders('Microsoft_Mobile', 'John_W._Thompson') 1.0"", ""not_founders('Microsoft_Mobile', 'Paul_Allen') 1.0"", ""not_founders('Microsoft_Redmond_campus', 'Bill_Gates') 1.0""]"
13,Larry Page is the founder of Apple.,[],[],[],"['birthPlace(""Larry_Page"",""Michigan"")', 'birthPlace(""Larry_Page"",""East_Lansing,_Michigan"")', 'occupation(""Larry_Page"",""List_of_Internet_entrepreneurs"")', 'occupation(""Larry_Page"",""Computer_scientist"")', 'occupation(""Larry_Page"",""Larry_Page__1"")', 'residence(""Larry_Page"",""California"")', 'residence(""Larry_Page"",""Palo_Alto,_California"")', 'keyPerson(""Apple_Inc."",""Arthur_D._Levinson"")', 'keyPerson(""Apple_Inc."",""Jeff_Williams_(Apple)"")', 'keyPerson(""Apple_Inc."",""Luca_Maestri"")', 'keyPerson(""Apple_Inc."",""Tim_Cook"")', 'keyPerson(""Apple_Inc."",""Jonathan_Ive"")', 'locationCity(""Apple_Inc."",""California"")', 'locationCity(""Apple_Inc."",""Apple_Campus"")', 'locationCity(""Apple_Inc."",""Cupertino,_California"")', 'product(""Apple_Inc."",""Apple_TV"")', 'product(""Apple_Inc."",""ILife"")', 'product(""Apple_Inc."",""Apple_Watch"")', 'product(""Apple_Inc."",""IOS"")', 'product(""Apple_Inc."",""MacOS"")', 'product(""Apple_Inc."",""Macintosh"")', 'product(""Apple_Inc."",""IPad"")', 'product(""Apple_Inc."",""IPhone"")', 'product(""Apple_Inc."",""IPod"")', 'product(""Apple_Inc."",""TvOS"")', 'product(""Apple_Inc."",""WatchOS"")', 'product(""Apple_Inc."",""IWork"")']",[],[]
14,Sergey Brin is the founder of Microsoft.,[],[],[],"['birthPlace(""Sergey_Brin"",""Moscow"")', 'birthPlace(""Sergey_Brin"",""Russian_Soviet_Federative_Socialist_Republic"")', 'birthPlace(""Sergey_Brin"",""Soviet_Union"")', 'residence(""Sergey_Brin"",""Los_Altos,_California"")', 'founders(""Google"",""Sergey_Brin"")', 'keyPerson(""Microsoft"",""Bill_Gates"")', 'keyPerson(""Microsoft"",""President_(corporate_title)"")', 'keyPerson(""Microsoft"",""Satya_Nadella"")', 'keyPerson(""Microsoft"",""John_W._Thompson"")', 'locationCity(""Microsoft"",""Redmond,_Washington"")', 'locationCity(""Microsoft"",""Microsoft_Redmond_campus"")', 'product(""Microsoft"",""Xbox"")', 'product(""Microsoft"",""Microsoft_Dynamics"")', 'product(""Microsoft"",""Skype"")', 'product(""Microsoft"",""Microsoft_Azure"")', 'product(""Microsoft"",""Microsoft_Mobile"")', 'product(""Microsoft"",""Microsoft_Surface"")', 'product(""Microsoft"",""Microsoft_Windows"")', 'product(""Microsoft"",""Microsoft_Visual_Studio"")', 'product(""Microsoft"",""Microsoft_Office"")', 'product(""Microsoft"",""List_of_Microsoft_software"")', 'product(""Microsoft"",""Microsoft_Servers"")', 'founders(""Microsoft"",""Bill_Gates"")', 'keyPerson(""Microsoft_Mobile"",""Terry_Myerson"")', 'location(""Microsoft_Mobile"",""Espoo"")', 'location(""Microsoft_Mobile"",""Finland"")', 'parentCompany(""Microsoft_Mobile"",""Microsoft"")', 'product(""Microsoft_Mobile"",""Mobile_app"")', 'product(""Microsoft_Mobile"",""Tablet_computer"")', 'product(""Microsoft_Mobile"",""Mobile_Phones"")', 'product(""Microsoft_Mobile"",""Smartphones"")', 'founders(""Microsoft"",""Paul_Allen"")', 'location(""Microsoft_Redmond_campus"",""Redmond,_Washington"")', 'occupation(""Paul_Allen"",""Microsoft"")', 'occupation(""Satya_Nadella"",""Microsoft_Corporation"")', 'occupation(""John_W._Thompson"",""Microsoft"")', 'not_founders(""Microsoft_Redmond_campus"",""Bill_Gates"")', 'not_founders(""Microsoft_Redmond_campus"",""President_(corporate_title)"")', 'not_founders(""Microsoft_Redmond_campus"",""Satya_Nadella"")', 'not_founders(""Microsoft_Redmond_campus"",""John_W._Thompson"")', 'not_founders(""Microsoft_Mobile"",""Paul_Allen"")', 'not_founders(""Microsoft_Mobile"",""John_W._Thompson"")', 'founders(""Moscow"",""Sergey_Brin"")']","[""founders('Microsoft', 'Paul_Allen') 1.0"", ""founders('Google', 'Sergey_Brin') 1.0"", ""founders('Moscow', 'Sergey_Brin') 1.0"", ""founders('Microsoft', 'Bill_Gates') 1.0""]","[""not_founders('Microsoft_Redmond_campus', 'Satya_Nadella') 1.0"", ""not_founders('Microsoft_Mobile', 'Paul_Allen') 1.0"", ""not_founders('Microsoft_Redmond_campus', 'President_(corporate_title)') 1.0"", ""not_founders('Microsoft_Redmond_campus', 'Bill_Gates') 1.0"", ""not_founders('Microsoft_Mobile', 'John_W._Thompson') 1.0"", ""not_founders('Microsoft_Redmond_campus', 'John_W._Thompson') 1.0""]"
15,Steve Wozniak is the founder of Google.,"[""founders('Google', 'Steve_Wozniak') 1.0""]",[],"['founders(""Google"",""Steve_Wozniak"")']","['birthPlace(""Steve_Wozniak"",""San_Jose,_California"")', 'birthPlace(""Steve_Wozniak"",""California"")', 'occupation(""Steve_Wozniak"",""Steve_Wozniak__1"")', 'occupation(""Steve_Wozniak"",""Electronic_engineering"")', 'occupation(""Steve_Wozniak"",""Programmer"")', 'keyPerson(""Google"",""Sundar_Pichai"")', 'locationCity(""Google"",""California"")', 'locationCity(""Google"",""Mountain_View,_California"")', 'locationCity(""Google"",""Googleplex"")', 'parentCompany(""Google"",""Alphabet_Inc."")', 'product(""Google"",""List_of_Google_products"")', 'founders(""Google"",""Sergey_Brin"")', 'founders(""Google"",""Larry_Page"")', 'occupation(""Sundar_Pichai"",""Google"")', 'product(""Alphabet_Inc."",""List_of_Google_products"")', 'founders(""Google"",""Steve_Wozniak"")', 'founders(""Alphabet_Inc."",""Steve_Wozniak"")']","[""founders('Google', 'Steve_Wozniak') 1.0"", ""founders('Google', 'Larry_Page') 1.0"", ""founders('Alphabet_Inc.', 'Steve_Wozniak') 1.0"", ""founders('Google', 'Sergey_Brin') 1.0""]",[]
16,Paul Allen is the founder of Google.,[],[],[],"['birthPlace(""Paul_Allen"",""Seattle"")', 'birthPlace(""Paul_Allen"",""Seattle,_Washington"")', 'occupation(""Paul_Allen"",""Portland_Trail_Blazers"")', 'occupation(""Paul_Allen"",""Allen_Institute_for_Brain_Science"")', 'occupation(""Paul_Allen"",""Allen_Institute_for_Cell_Science"")', 'occupation(""Paul_Allen"",""Microsoft"")', 'occupation(""Paul_Allen"",""Allen_Institute_for_Artificial_Intelligence"")', 'occupation(""Paul_Allen"",""Seattle_Seahawks"")', 'occupation(""Paul_Allen"",""Vulcan_Inc."")', 'occupation(""Paul_Allen"",""Seattle_Sounders"")', 'occupation(""Paul_Allen"",""Paul_Allen__1"")', 'residence(""Paul_Allen"",""Mercer_Island,_Washington"")', 'founders(""Allen_Institute_for_Brain_Science"",""Paul_Allen"")', 'founders(""Microsoft"",""Paul_Allen"")', 'founders(""Vulcan_Inc."",""Paul_Allen"")', 'foundedBy(""Allen_Institute_for_Cell_Science"",""Paul_Allen"")', 'foundedBy(""Allen_Institute_for_Artificial_Intelligence"",""Paul_Allen"")', 'keyPerson(""Google"",""Sundar_Pichai"")', 'locationCity(""Google"",""California"")', 'locationCity(""Google"",""Mountain_View,_California"")', 'locationCity(""Google"",""Googleplex"")', 'parentCompany(""Google"",""Alphabet_Inc."")', 'product(""Google"",""List_of_Google_products"")', 'founders(""Google"",""Sergey_Brin"")', 'founders(""Google"",""Larry_Page"")', 'occupation(""Sundar_Pichai"",""Google"")', 'product(""Alphabet_Inc."",""List_of_Google_products"")', 'not_founders(""Portland_Trail_Blazers"",""Paul_Allen"")', 'not_founders(""Allen_Institute_for_Cell_Science"",""Paul_Allen"")', 'founders(""Allen_Institute_for_Cell_Science"",""Paul_Allen"")', 'founders(""Allen_Institute_for_Artificial_Intelligence"",""Paul_Allen"")', 'founders(""Seattle_Seahawks"",""Paul_Allen"")']","[""founders('Allen_Institute_for_Artificial_Intelligence', 'Paul_Allen') 1.0"", ""founders('Allen_Institute_for_Cell_Science', 'Paul_Allen') 1.0"", ""founders('Google', 'Larry_Page') 1.0"", ""founders('Allen_Institute_for_Brain_Science', 'Paul_Allen') 1.0"", ""founders('Seattle_Seahawks', 'Paul_Allen') 1.0"", ""founders('Vulcan_Inc.', 'Paul_Allen') 1.0"", ""founders('Microsoft', 'Paul_Allen') 1.0"", ""founders('Google', 'Sergey_Brin') 1.0""]","[""not_founders('Allen_Institute_for_Cell_Science', 'Paul_Allen') 1.0"", ""not_founders('Portland_Trail_Blazers', 'Paul_Allen') 1.0""]"
17,Mark ZuckerBerg is the founder of Tesla.,[],[],[],"['birthPlace(""Mark_Zuckerberg"",""White_Plains,_New_York"")', 'occupation(""Mark_Zuckerberg"",""Mark_Zuckerberg__1"")', 'residence(""Mark_Zuckerberg"",""Palo_Alto,_California"")', 'keyPerson(""Tesla_Motors"",""JB_Straubel"")', 'keyPerson(""Tesla_Motors"",""Elon_Musk"")', 'product(""Tesla_Motors"",""Electric_car"")', 'product(""Tesla_Motors"",""Tesla_Powerwall"")', 'founders(""Tesla_Motors"",""JB_Straubel"")', 'founders(""Tesla_Motors"",""Martin_Eberhard"")', 'founders(""Tesla_Motors"",""Elon_Musk"")']","[""founders('Tesla_Motors', 'JB_Straubel') 1.0"", ""founders('Tesla_Motors', 'Elon_Musk') 1.0"", ""founders('Tesla_Motors', 'Martin_Eberhard') 1.0""]",[]
18,Elon Musk is the founder of Facebook.,[],[],[],"['birthPlace(""Elon_Musk"",""Pretoria"")', 'birthPlace(""Elon_Musk"",""South_Africa"")', 'birthPlace(""Elon_Musk"",""Transvaal_Province"")', 'occupation(""Elon_Musk"",""Elon_Musk__1"")', 'residence(""Elon_Musk"",""California"")', 'residence(""Elon_Musk"",""Los_Angeles"")', 'residence(""Elon_Musk"",""Bel_Air,_Los_Angeles"")', 'founders(""Tesla_Motors"",""Elon_Musk"")', 'foundedBy(""PayPal"",""Elon_Musk"")', 'foundedBy(""SpaceX"",""Elon_Musk"")', 'keyPerson(""Tesla_Motors"",""Elon_Musk"")', 'keyPerson(""SolarCity"",""Elon_Musk"")', 'keyPerson(""SpaceX"",""Elon_Musk"")', 'foundedBy(""Facebook"",""Eduardo_Saverin"")', 'foundedBy(""Facebook"",""Andrew_McCollum"")', 'foundedBy(""Facebook"",""Chris_Hughes"")', 'foundedBy(""Facebook"",""Dustin_Moskovitz"")', 'foundedBy(""Facebook"",""Mark_Zuckerberg"")', 'keyPerson(""Facebook"",""Sheryl_Sandberg"")', 'keyPerson(""Facebook"",""Chief_operating_officer"")', 'keyPerson(""Facebook"",""CEO"")', 'keyPerson(""Facebook"",""Chairman"")', 'keyPerson(""Facebook"",""Mark_Zuckerberg"")', 'location(""Facebook"",""Menlo_Park,_California"")', 'occupation(""Andrew_McCollum"",""Facebook"")', 'parentCompany(""Oculus_VR"",""Facebook"")', 'not_founders(""Tesla_Motors"",""Elon_Musk"")', 'not_founders(""SolarCity"",""Elon_Musk"")', 'not_founders(""SpaceX"",""Elon_Musk"")', 'not_founders(""Facebook"",""Mark_Zuckerberg"")', 'not_founders(""Facebook"",""Michael_Abrash"")', 'not_founders(""Facebook"",""Brendan_Iribe"")', 'not_founders(""Facebook"",""John_D._Carmack"")', 'not_founders(""Facebook"",""Andrew_McCollum"")', 'founders(""Pretoria"",""Elon_Musk"")']","[""founders('Tesla_Motors', 'Elon_Musk') 1.0"", ""founders('Pretoria', 'Elon_Musk') 1.0""]","[""not_founders('Facebook', 'Michael_Abrash') 1.0"", ""not_founders('Tesla_Motors', 'Elon_Musk') 1.0"", ""not_founders('SolarCity', 'Elon_Musk') 1.0"", ""not_founders('Facebook', 'Andrew_McCollum') 1.0"", ""not_founders('SpaceX', 'Elon_Musk') 1.0"", ""not_founders('Facebook', 'Brendan_Iribe') 1.0"", ""not_founders('Facebook', 'Mark_Zuckerberg') 1.0"", ""not_founders('Facebook', 'John_D._Carmack') 1.0""]"
19,Elon Musk is the founder of Apple.,[],[],[],"['birthPlace(""Elon_Musk"",""Pretoria"")', 'birthPlace(""Elon_Musk"",""South_Africa"")', 'birthPlace(""Elon_Musk"",""Transvaal_Province"")', 'occupation(""Elon_Musk"",""Elon_Musk__1"")', 'residence(""Elon_Musk"",""California"")', 'residence(""Elon_Musk"",""Los_Angeles"")', 'residence(""Elon_Musk"",""Bel_Air,_Los_Angeles"")', 'founders(""Tesla_Motors"",""Elon_Musk"")', 'foundedBy(""PayPal"",""Elon_Musk"")', 'foundedBy(""SpaceX"",""Elon_Musk"")', 'keyPerson(""Tesla_Motors"",""Elon_Musk"")', 'keyPerson(""SolarCity"",""Elon_Musk"")', 'keyPerson(""SpaceX"",""Elon_Musk"")', 'keyPerson(""Apple_Inc."",""Arthur_D._Levinson"")', 'keyPerson(""Apple_Inc."",""Jeff_Williams_(Apple)"")', 'keyPerson(""Apple_Inc."",""Luca_Maestri"")', 'keyPerson(""Apple_Inc."",""Tim_Cook"")', 'keyPerson(""Apple_Inc."",""Jonathan_Ive"")', 'locationCity(""Apple_Inc."",""California"")', 'locationCity(""Apple_Inc."",""Apple_Campus"")', 'locationCity(""Apple_Inc."",""Cupertino,_California"")', 'product(""Apple_Inc."",""Apple_TV"")', 'product(""Apple_Inc."",""ILife"")', 'product(""Apple_Inc."",""Apple_Watch"")', 'product(""Apple_Inc."",""IOS"")', 'product(""Apple_Inc."",""MacOS"")', 'product(""Apple_Inc."",""Macintosh"")', 'product(""Apple_Inc."",""IPad"")', 'product(""Apple_Inc."",""IPhone"")', 'product(""Apple_Inc."",""IPod"")', 'product(""Apple_Inc."",""TvOS"")', 'product(""Apple_Inc."",""WatchOS"")', 'product(""Apple_Inc."",""IWork"")', 'not_founders(""Tesla_Motors"",""Elon_Musk"")', 'not_founders(""SolarCity"",""Elon_Musk"")', 'not_founders(""SpaceX"",""Elon_Musk"")', 'founders(""Pretoria"",""Elon_Musk"")']","[""founders('Tesla_Motors', 'Elon_Musk') 1.0"", ""founders('Pretoria', 'Elon_Musk') 1.0""]","[""not_founders('SolarCity', 'Elon_Musk') 1.0"", ""not_founders('Tesla_Motors', 'Elon_Musk') 1.0"", ""not_founders('SpaceX', 'Elon_Musk') 1.0""]"
20,Elon Musk is the founder of Google.,[],[],[],"['birthPlace(""Elon_Musk"",""Pretoria"")', 'birthPlace(""Elon_Musk"",""South_Africa"")', 'birthPlace(""Elon_Musk"",""Transvaal_Province"")', 'occupation(""Elon_Musk"",""Elon_Musk__1"")', 'residence(""Elon_Musk"",""California"")', 'residence(""Elon_Musk"",""Los_Angeles"")', 'residence(""Elon_Musk"",""Bel_Air,_Los_Angeles"")', 'founders(""Tesla_Motors"",""Elon_Musk"")', 'foundedBy(""PayPal"",""Elon_Musk"")', 'foundedBy(""SpaceX"",""Elon_Musk"")', 'keyPerson(""Tesla_Motors"",""Elon_Musk"")', 'keyPerson(""SolarCity"",""Elon_Musk"")', 'keyPerson(""SpaceX"",""Elon_Musk"")', 'keyPerson(""Google"",""Sundar_Pichai"")', 'locationCity(""Google"",""California"")', 'locationCity(""Google"",""Mountain_View,_California"")', 'locationCity(""Google"",""Googleplex"")', 'parentCompany(""Google"",""Alphabet_Inc."")', 'product(""Google"",""List_of_Google_products"")', 'founders(""Google"",""Sergey_Brin"")', 'founders(""Google"",""Larry_Page"")', 'occupation(""Sundar_Pichai"",""Google"")', 'product(""Alphabet_Inc."",""List_of_Google_products"")', 'not_founders(""Tesla_Motors"",""Elon_Musk"")', 'not_founders(""SolarCity"",""Elon_Musk"")', 'not_founders(""SpaceX"",""Elon_Musk"")', 'founders(""Pretoria"",""Elon_Musk"")']","[""founders('Tesla_Motors', 'Elon_Musk') 1.0"", ""founders('Google', 'Larry_Page') 1.0"", ""founders('Pretoria', 'Elon_Musk') 1.0"", ""founders('Google', 'Sergey_Brin') 1.0""]","[""not_founders('SolarCity', 'Elon_Musk') 1.0"", ""not_founders('Tesla_Motors', 'Elon_Musk') 1.0"", ""not_founders('SpaceX', 'Elon_Musk') 1.0""]"
26,Jeff Bezos is the founder of Tesla.,[],[],[],"['birthPlace(""Jeff_Bezos"",""Albuquerque,_New_Mexico"")', 'occupation(""Jeff_Bezos"",""Jeff_Bezos__1"")', 'occupation(""Jeff_Bezos"",""Amazon.com"")', 'residence(""Jeff_Bezos"",""Seattle,_Washington"")', 'foundedBy(""Amazon.com"",""Jeff_Bezos"")', 'keyPerson(""Amazon.com"",""Jeff_Bezos"")', 'keyPerson(""Tesla_Motors"",""JB_Straubel"")', 'keyPerson(""Tesla_Motors"",""Elon_Musk"")', 'product(""Tesla_Motors"",""Electric_car"")', 'product(""Tesla_Motors"",""Tesla_Powerwall"")', 'founders(""Tesla_Motors"",""JB_Straubel"")', 'founders(""Tesla_Motors"",""Martin_Eberhard"")', 'founders(""Tesla_Motors"",""Elon_Musk"")', 'not_founders(""Amazon.com"",""Jeff_Bezos"")', 'founders(""Tesla_Motors"",""MacKenzie_Bezos"")']","[""founders('Tesla_Motors', 'MacKenzie_Bezos') 1.0"", ""founders('Tesla_Motors', 'Elon_Musk') 1.0"", ""founders('Tesla_Motors', 'Martin_Eberhard') 1.0"", ""founders('Tesla_Motors', 'JB_Straubel') 1.0""]","[""not_founders('Amazon.com', 'Jeff_Bezos') 1.0""]"
27,Jack Dorsey is the founder of Intel.,[],[],[],"['birthPlace(""Jack_Dorsey"",""Missouri"")', 'birthPlace(""Jack_Dorsey"",""St._Louis,_Missouri"")', 'occupation(""Jack_Dorsey"",""CEO"")', 'occupation(""Jack_Dorsey"",""Twitter"")', 'occupation(""Jack_Dorsey"",""Jack_Dorsey__1"")', 'residence(""Jack_Dorsey"",""San_Francisco,_California"")', 'foundedBy(""Twitter"",""Jack_Dorsey"")', 'keyPerson(""Intel"",""Brian_Krzanich"")', 'keyPerson(""Intel"",""Gordon_Moore"")', 'keyPerson(""Intel"",""Andy_Bryant"")', 'product(""Intel"",""Mobile_phones"")', 'product(""Intel"",""Bluetooth"")', 'product(""Intel"",""Central_processing_unit"")', 'product(""Intel"",""Motherboard"")', 'product(""Intel"",""Network_interface_controller"")', 'product(""Intel"",""Flash_memory"")', 'product(""Intel"",""Microprocessor"")', 'product(""Intel"",""Solid_state_drive"")', 'founders(""Intel"",""Gordon_Moore"")', 'founders(""Intel"",""Robert_Noyce"")', 'occupation(""Brian_Krzanich"",""Intel"")', 'occupation(""Robert_Noyce"",""Intel"")', 'occupation(""Andy_Bryant"",""Intel"")']","[""founders('Intel', 'Gordon_Moore') 1.0"", ""founders('Intel', 'Robert_Noyce') 1.0""]",[]
28,Gordon Moore is the founder of Twitter.,"[""founders('Twitter', 'Gordon_Moore') 1.0""]",[],"['founders(""Twitter"",""Gordon_Moore"")']","['birthPlace(""Gordon_Moore"",""California"")', 'birthPlace(""Gordon_Moore"",""San_Francisco"")', 'founders(""Intel"",""Gordon_Moore"")', 'keyPerson(""Intel"",""Gordon_Moore"")', 'foundedBy(""Twitter"",""Noah_Glass"")', 'foundedBy(""Twitter"",""Evan_Williams_(Internet_entrepreneur)"")', 'foundedBy(""Twitter"",""Jack_Dorsey"")', 'foundedBy(""Twitter"",""Biz_Stone"")', 'locationCity(""Twitter"",""California"")', 'locationCity(""Twitter"",""San_Francisco"")', 'occupation(""Jack_Dorsey"",""Twitter"")', 'occupation(""Omid_Kordestani"",""Twitter"")', 'founders(""Twitter"",""Gordon_Moore"")', 'founders(""Twitter"",""Biz_Stone"")']","[""founders('Twitter', 'Biz_Stone') 1.0"", ""founders('Intel', 'Gordon_Moore') 1.0"", ""founders('Twitter', 'Gordon_Moore') 1.0""]",[]
30,Travis Kalanick is the founder of Facebook.,[],[],[],"['birthPlace(""Travis_Kalanick"",""Los_Angeles"")', 'occupation(""Travis_Kalanick"",""Entrepreneur"")', 'occupation(""Travis_Kalanick"",""Travis_Kalanick__1"")', 'residence(""Travis_Kalanick"",""San_Francisco"")', 'founders(""Uber_(company)"",""Travis_Kalanick"")', 'keyPerson(""Uber_(company)"",""Travis_Kalanick"")', 'foundedBy(""Facebook"",""Eduardo_Saverin"")', 'foundedBy(""Facebook"",""Andrew_McCollum"")', 'foundedBy(""Facebook"",""Chris_Hughes"")', 'foundedBy(""Facebook"",""Dustin_Moskovitz"")', 'foundedBy(""Facebook"",""Mark_Zuckerberg"")', 'keyPerson(""Facebook"",""Sheryl_Sandberg"")', 'keyPerson(""Facebook"",""Chief_operating_officer"")', 'keyPerson(""Facebook"",""CEO"")', 'keyPerson(""Facebook"",""Chairman"")', 'keyPerson(""Facebook"",""Mark_Zuckerberg"")', 'location(""Facebook"",""Menlo_Park,_California"")', 'occupation(""Andrew_McCollum"",""Facebook"")', 'parentCompany(""Oculus_VR"",""Facebook"")', 'not_founders(""Facebook"",""Mark_Zuckerberg"")', 'not_founders(""Facebook"",""Michael_Abrash"")', 'not_founders(""Facebook"",""Brendan_Iribe"")', 'not_founders(""Facebook"",""John_D._Carmack"")', 'not_founders(""Facebook"",""Andrew_McCollum"")']","[""founders('Uber_(company)', 'Travis_Kalanick') 1.0""]","[""not_founders('Facebook', 'Michael_Abrash') 1.0"", ""not_founders('Facebook', 'Andrew_McCollum') 1.0"", ""not_founders('Facebook', 'Brendan_Iribe') 1.0"", ""not_founders('Facebook', 'Mark_Zuckerberg') 1.0"", ""not_founders('Facebook', 'John_D._Carmack') 1.0""]"
29,Diane Greene is the founder of Uber.,[],[],[],"['occupation(""Diane_Greene"",""Google"")', 'occupation(""Diane_Greene"",""Intuit"")', 'occupation(""Diane_Greene"",""Diane_Greene__1"")', 'keyPerson(""Uber_(company)"",""Travis_Kalanick"")', 'keyPerson(""Uber_(company)"",""Ryan_Graves"")', 'locationCity(""Uber_(company)"",""San_Francisco"")', 'locationCity(""Uber_(company)"",""California"")', 'not_founders(""Intuit"",""Diane_Greene"")']",[],"[""not_founders('Intuit', 'Diane_Greene') 1.0""]"
