id,test,True Positive,False Positive
140,"['Sirius_Satellite_Radio', 'Mel_Karmazin']","[""keyPerson('Sirius_Satellite_Radio', 'Mel_Karmazin') 1.0""]","[""not_keyPerson('Sirius_Satellite_Radio', 'Mel_Karmazin') 1.0""]"
43,"['Dell', 'Michael_Dell']","[""keyPerson('Michael_Dell', 'Susan Lynn Lieberman') 1.0"", ""keyPerson('Limited_liability_company', 'Michael_Dell') 1.0"", ""keyPerson('Smartphone', 'Michael_Dell') 1.0"", ""keyPerson('Glenn_Hutchins', 'Michael_Dell') 1.0"", ""keyPerson('Peripheral', 'Michael_Dell') 1.0"", ""keyPerson('Michael_Dell__1', 'Silver_Lake_Partners') 1.0"", ""keyPerson('Computer_network', 'Michael_Dell') 1.0"", ""keyPerson('Personal_computers', 'Michael_Dell') 1.0"", ""keyPerson('Michael_Dell', 'Glenn_Hutchins') 1.0"", ""keyPerson('Michael_Dell', 'Silver_Lake_Partners') 1.0"", ""keyPerson('City', 'Michael_Dell') 1.0"", ""keyPerson('Growth_capital', 'Michael_Dell') 1.0"", ""keyPerson('Pivotal_Software', 'Michael_Dell') 1.0"", ""keyPerson('Computer_software', 'Michael_Dell') 1.0"", ""keyPerson('VMware', 'Michael_Dell') 1.0"", ""keyPerson('Dell_Technologies', 'Michael_Dell') 1.0"", ""keyPerson('Server_(computing)', 'Michael_Dell') 1.0"", ""keyPerson('Michael_Dell__1', 'Dell') 1.0"", ""keyPerson('Michael_Dell__1', 'Susan Lynn Lieberman') 1.0"", ""keyPerson('Michael_Dell__1', 'Roger_McNamee') 1.0"", ""keyPerson('Michael_Dell', 'Michael_Dell') 1.0"", ""keyPerson('Privately_held_company', 'Michael_Dell') 1.0"", ""keyPerson('Silver_Lake_Partners', 'Michael_Dell') 1.0"", ""keyPerson('Michael_Dell', 'Dell') 1.0"", ""keyPerson('Dell_EMC_Services', 'Michael_Dell') 1.0"", ""keyPerson('Leveraged_buyout', 'Michael_Dell') 1.0"", ""keyPerson('City_(United_States)', 'Michael_Dell') 1.0"", ""keyPerson('Michael_Dell', 'Roger_McNamee') 1.0"", ""keyPerson('Michael_Dell__1', 'Dell_Technologies') 1.0"", ""keyPerson('Michael_Dell__1', 'Michael_Dell') 1.0"", ""keyPerson('Space-grant_university', 'Michael_Dell') 1.0"", ""keyPerson('Private_Company', 'Michael_Dell') 1.0"", ""keyPerson('Dell_Client_Solutions_Group', 'Michael_Dell') 1.0"", ""keyPerson('Michael_Dell__1', 'Glenn_Hutchins') 1.0"", ""keyPerson('Dell_EMC_Infrastructure_Solutions_Group', 'Michael_Dell') 1.0"", ""keyPerson('Dell', 'Michael_Dell') 1.0"", ""keyPerson('Michael_Dell', 'Dell_Technologies') 1.0"", ""keyPerson('Flagship_campus', 'Michael_Dell') 1.0"", ""keyPerson('SecureWorks', 'Michael_Dell') 1.0"", ""keyPerson('Roger_McNamee', 'Michael_Dell') 1.0""]","[""not_keyPerson('Smartphone', 'Michael_Dell') 1.0"", ""not_keyPerson('Glenn_Hutchins', 'Michael_Dell') 1.0"", ""not_keyPerson('Peripheral', 'Michael_Dell') 1.0"", ""not_keyPerson('Dell_EMC_Services', 'Michael_Dell') 1.0"", ""not_keyPerson('Michael_Dell__1', 'Silver_Lake_Partners') 1.0"", ""not_keyPerson('Computer_network', 'Michael_Dell') 1.0"", ""not_keyPerson('Personal_computers', 'Michael_Dell') 1.0"", ""not_keyPerson('Leveraged_buyout', 'Michael_Dell') 1.0"", ""not_keyPerson('Limited_liability_company', 'Michael_Dell') 1.0"", ""not_keyPerson('Computer_software', 'Michael_Dell') 1.0"", ""not_keyPerson('Association_of_American_Universities', 'Michael_Dell') 1.0"", ""not_keyPerson('Michael_Dell', 'Glenn_Hutchins') 1.0"", ""not_keyPerson('City_(United_States)', 'Michael_Dell') 1.0"", ""not_keyPerson('Michael_Dell', 'Silver_Lake_Partners') 1.0"", ""not_keyPerson('City', 'Michael_Dell') 1.0"", ""not_keyPerson('Growth_capital', 'Michael_Dell') 1.0"", ""not_keyPerson('Pivotal_Software', 'Michael_Dell') 1.0"", ""not_keyPerson('Oak_Ridge_Associated_Universities', 'Michael_Dell') 1.0"", ""not_keyPerson('Susan Lynn Lieberman', 'Michael_Dell') 1.0"", ""not_keyPerson('Server_(computing)', 'Michael_Dell') 1.0"", ""not_keyPerson('Dell_EMC_Infrastructure_Solutions_Group', 'Michael_Dell') 1.0"", ""not_keyPerson('VMware', 'Michael_Dell') 1.0"", ""not_keyPerson('Dell_Technologies', 'Michael_Dell') 1.0"", ""not_keyPerson('University_of_Texas_System', 'Michael_Dell') 1.0"", ""not_keyPerson('Association_of_Public_and_Land-Grant_Universities', 'Michael_Dell') 1.0"", ""not_keyPerson('Michael_Dell__1', 'Dell') 1.0"", ""not_keyPerson('Michael_Dell__1', 'Susan Lynn Lieberman') 1.0"", ""not_keyPerson('Michael_Dell__1', 'Roger_McNamee') 1.0"", ""not_keyPerson('Privately_held_company', 'Michael_Dell') 1.0"", ""not_keyPerson('Michael_Dell', 'Dell') 1.0"", ""not_keyPerson('Michael_Dell', 'Roger_McNamee') 1.0"", ""not_keyPerson('Michael_Dell__1', 'Dell_Technologies') 1.0"", ""not_keyPerson('Universities_Research_Association', 'Michael_Dell') 1.0"", ""not_keyPerson('Michael_Dell', 'Michael_Dell') 1.0"", ""not_keyPerson('Michael_Dell__1', 'Michael_Dell') 1.0"", ""not_keyPerson('Michael_Dell', 'Dell_Technologies') 1.0"", ""not_keyPerson('Space-grant_university', 'Michael_Dell') 1.0"", ""not_keyPerson('Michael_Dell', 'Susan Lynn Lieberman') 1.0"", ""not_keyPerson('Dell_Client_Solutions_Group', 'Michael_Dell') 1.0"", ""not_keyPerson('Michael_Dell__1', 'Glenn_Hutchins') 1.0"", ""not_keyPerson('Silver_Lake_Partners', 'Michael_Dell') 1.0"", ""not_keyPerson('Dell', 'Michael_Dell') 1.0"", ""not_keyPerson('Private_Company', 'Michael_Dell') 1.0"", ""not_keyPerson('Southeastern_Universities_Research_Association', 'Michael_Dell') 1.0"", ""not_keyPerson('Flagship_campus', 'Michael_Dell') 1.0"", ""not_keyPerson('SecureWorks', 'Michael_Dell') 1.0"", ""not_keyPerson('Roger_McNamee', 'Michael_Dell') 1.0""]"
142,"['SoftBank', 'Masayoshi_Son']","[""keyPerson('SoftBank', 'Masayoshi_Son') 1.0""]","[""not_keyPerson('SoftBank', 'Masayoshi_Son') 1.0""]"
143,"['Sonic_Drive-In', 'J._Clifford_Hudson']","[""keyPerson('Sonic_Drive-In', 'J._Clifford_Hudson') 1.0""]","[""not_keyPerson('Sonic_Drive-In', 'J._Clifford_Hudson') 1.0""]"
144,"['Sony', 'Kazuo_Hirai']","[""keyPerson('Sony', 'Kazuo_Hirai') 1.0"", ""keyPerson('Sony_Corporation_shareholders_and_subsidiaries', 'Kazuo_Hirai') 1.0""]","[""not_keyPerson('Sony', 'Kazuo_Hirai') 1.0"", ""not_keyPerson('Sony_Corporation_shareholders_and_subsidiaries', 'Kazuo_Hirai') 1.0""]"
146,"['Starbucks', 'Howard_Schultz']","[""keyPerson('Starbucks', 'Howard_Schultz') 1.0""]","[""not_keyPerson('Starbucks', 'Howard_Schultz') 1.0""]"
147,"['Statoil', 'Helge_Lund']","[""keyPerson('Statoil', 'Helge_Lund') 1.0""]","[""not_keyPerson('Statoil', 'Helge_Lund') 1.0""]"
153,"['Sulekha', 'Satya_Prabhakar']","[""keyPerson('Sulekha', 'Satya_Prabhakar') 1.0""]","[""not_keyPerson('Sulekha', 'Satya_Prabhakar') 1.0""]"
148,"['Sun_Hung_Kai_Properties', 'Walter_Kwok']","[""keyPerson('Sun_Hung_Kai_Properties', 'Walter_Kwok') 1.0""]","[""not_keyPerson('Sun_Hung_Kai_Properties', 'Walter_Kwok') 1.0""]"
149,"['Sun_Microsystems', 'Jonathan_I._Schwartz']","[""keyPerson('Sun_Microsystems', 'Jonathan_I._Schwartz') 1.0""]","[""not_keyPerson('Sun_Microsystems', 'Jonathan_I._Schwartz') 1.0""]"
150,"['Sun_Pharmaceutical', 'Dilip_Shanghvi']","[""keyPerson('Sun_Pharmaceuticals', 'Dilip_Shanghvi') 1.0"", ""keyPerson('Sun_Pharmaceutical', 'Dilip_Shanghvi') 1.0""]","[""not_keyPerson('Sun_Pharmaceuticals', 'Dilip_Shanghvi') 1.0"", ""not_keyPerson('Sun_Pharmaceutical', 'Dilip_Shanghvi') 1.0""]"
151,"['SunTrust_Banks', 'James_M._Wells,_III']","[""keyPerson('SunTrust_Banks', 'James_M._Wells,_III') 1.0""]","[""not_keyPerson('SunTrust_Banks', 'James_M._Wells,_III') 1.0""]"
152,"['SuperValu_(United_States)', 'Jeff_Noddle']","[""keyPerson('SuperValu_(United_States)', 'Jeff_Noddle') 1.0""]","[""not_keyPerson('SuperValu_(United_States)', 'Jeff_Noddle') 1.0""]"
154,"['Syntel', 'Bharat_Desai']","[""keyPerson('Syntel', 'Bharat_Desai') 1.0""]","[""not_keyPerson('Syntel', 'Bharat_Desai') 1.0""]"
155,"['Target_Corporation', 'Gregg_Steinhafel']","[""keyPerson('Target_Corporation', 'Gregg_Steinhafel') 1.0""]","[""not_keyPerson('Target_Corporation', 'Gregg_Steinhafel') 1.0""]"
156,"['Tata_Consultancy_Services', 'Natarajan_Chandrasekaran']","[""keyPerson('Tata_Consultancy_Services', 'Natarajan_Chandrasekaran') 1.0""]","[""not_keyPerson('Tata_Consultancy_Services', 'Natarajan_Chandrasekaran') 1.0""]"
158,"['Telmex', 'Carlos_Slim']","[""keyPerson('Telmex', 'Carlos_Slim') 1.0"", ""keyPerson('Telmex', 'Carlos_Slim_Domit') 1.0""]","[""not_keyPerson('Telmex', 'Carlos_Slim') 1.0"", ""not_keyPerson('Telmex', 'Carlos_Slim_Domit') 1.0""]"
159,"['Telstra', 'David_Thodey']","[""keyPerson('Telstra', 'David_Thodey') 1.0"", ""keyPerson('Telstra_Corporate_Centre', 'David_Thodey') 1.0""]","[""not_keyPerson('Telstra_Corporate_Centre', 'David_Thodey') 1.0"", ""not_keyPerson('Telstra', 'David_Thodey') 1.0""]"
161,"['Tesco', 'Philip_Clarke_(businessman)']","[""keyPerson('Tesco', 'Philip_Clarke_(businessman)') 1.0"", ""keyPerson('Tesco_Bank', 'Philip_Clarke_(businessman)') 1.0"", ""keyPerson('Tesco_Ireland', 'Philip_Clarke_(businessman)') 1.0"", ""keyPerson('Tesco_Kipa', 'Philip_Clarke_(businessman)') 1.0"", ""keyPerson('Tesco_Mobile', 'Philip_Clarke_(businessman)') 1.0""]","[""not_keyPerson('Tesco', 'Philip_Clarke_(businessman)') 1.0"", ""not_keyPerson('Tesco_Kipa', 'Philip_Clarke_(businessman)') 1.0"", ""not_keyPerson('Tesco_Ireland', 'Philip_Clarke_(businessman)') 1.0"", ""not_keyPerson('Tesco_Bank', 'Philip_Clarke_(businessman)') 1.0"", ""not_keyPerson('Tesco_Mobile', 'Philip_Clarke_(businessman)') 1.0""]"
24,"['The_Blackstone_Group', 'Stephen_A._Schwarzman']","[""keyPerson('The_Blackstone_Group', 'Stephen_A._Schwarzman') 1.0""]","[""not_keyPerson('The_Blackstone_Group', 'Stephen_A._Schwarzman') 1.0""]"
167,"['The_Siegel_Group', 'Steve_Siegel']","[""keyPerson('The_Siegel_Group', 'Steve_Siegel') 1.0""]","[""not_keyPerson('The_Siegel_Group', 'Steve_Siegel') 1.0""]"
169,"['The_Trump_Organization', 'Donald_Trump']","[""keyPerson('The_Trump_Organization', 'Donald_Trump') 1.0"", ""keyPerson('The_Trump_Organization', 'Donald_Trump_Jr.') 1.0""]","[""not_keyPerson('The_Trump_Organization', 'Donald_Trump') 1.0"", ""not_keyPerson('The_Trump_Organization', 'Donald_Trump_Jr.') 1.0""]"
188,"['The_Walt_Disney_Company', 'Bob_Iger']","[""keyPerson('Bob_Iger', 'The_Walt_Disney_Company') 1.0"", ""keyPerson('The_Walt_Disney_Company', 'Bob_Iger') 1.0"", ""keyPerson('Bob_Iger__1', 'The_Walt_Disney_Company') 1.0""]","[""not_keyPerson('The_Walt_Disney_Company', 'Bob_Iger') 1.0"", ""not_keyPerson('Bob_Iger__1', 'The_Walt_Disney_Company') 1.0"", ""not_keyPerson('Bob_Iger', 'The_Walt_Disney_Company') 1.0""]"
170,"['Toyota', 'Hiroshi_Okuda']","[""keyPerson('Toyota_Industries', 'Hiroshi_Okuda') 1.0"", ""keyPerson('Toyota', 'Hiroshi_Okuda') 1.0"", ""keyPerson('Toyota_Group', 'Hiroshi_Okuda') 1.0"", ""keyPerson('Toyota_Racing_Development', 'Hiroshi_Okuda') 1.0"", ""keyPerson('Toyota_Motor_Corporation', 'Hiroshi_Okuda') 1.0""]","[""not_keyPerson('Toyota_Racing_Development', 'Hiroshi_Okuda') 1.0"", ""not_keyPerson('Hiroshi_Okuda', 'Toyota') 1.0"", ""not_keyPerson('Toyota_Group', 'Hiroshi_Okuda') 1.0"", ""not_keyPerson('Toyota_Industries', 'Hiroshi_Okuda') 1.0"", ""not_keyPerson('Hiroshi_Okuda', 'Toyota_Industries') 1.0"", ""not_keyPerson('Toyota_Motor_Corporation', 'Hiroshi_Okuda') 1.0"", ""not_keyPerson('Toyota', 'Hiroshi_Okuda') 1.0""]"
171,"['Toys_for_Bob', 'Paul_Reiche_III']","[""keyPerson('Toys_for_Bob', 'Paul_Reiche_III') 1.0""]","[""not_keyPerson('Toys_for_Bob', 'Paul_Reiche_III') 1.0""]"
166,"['Tracinda', 'Kirk_Kerkorian']","[""keyPerson('Tracinda', 'Kirk_Kerkorian') 1.0""]","[""not_keyPerson('Tracinda', 'Kirk_Kerkorian') 1.0""]"
174,"['Twitter', 'Dick_Costolo']","[""keyPerson('Twitter', 'Dick_Costolo') 1.0""]","[""not_keyPerson('Twitter', 'Dick_Costolo') 1.0""]"
180,"['U.S._Steel', 'John_P._Surma']","[""keyPerson('U.S._Steel_Tower', 'John_P._Surma') 1.0"", ""keyPerson('U.S._Steel', 'John_P._Surma') 1.0""]","[""not_keyPerson('U.S._Steel', 'John_P._Surma') 1.0"", ""not_keyPerson('U.S._Steel_Tower', 'John_P._Surma') 1.0""]"
176,"['UBS', 'Sergio_Ermotti']","[""keyPerson('UBS', 'Sergio_Ermotti') 1.0""]","[""not_keyPerson('UBS', 'Sergio_Ermotti') 1.0"", ""not_keyPerson('Sergio_Ermotti', 'UBS') 1.0""]"
182,"['Verizon_Communications', 'Lowell_McAdam']","[""keyPerson('Verizon_Communications', 'Lowell_McAdam') 1.0"", ""keyPerson('Lowell_McAdam__1', 'Verizon_Communications') 1.0""]","[""not_keyPerson('Verizon_Communications', 'Lowell_McAdam') 1.0"", ""not_keyPerson('Lowell_McAdam__1', 'Verizon_Communications') 1.0"", ""not_keyPerson('Lowell_McAdam', 'Verizon_Communications') 1.0""]"
183,"['Viacom', 'Philippe_Dauman']","[""keyPerson('Viacom_International', 'Philippe_Dauman') 1.0"", ""keyPerson('Viacom_International_Media_Networks', 'Philippe_Dauman') 1.0"", ""keyPerson('Viacom_Media_Networks', 'Philippe_Dauman') 1.0"", ""keyPerson('Philippe_Dauman__1', 'Viacom') 1.0"", ""keyPerson('Philippe_Dauman__1', 'Viacom_(original)') 1.0"", ""keyPerson('Viacom_18', 'Philippe_Dauman') 1.0"", ""keyPerson('Viacom', 'Philippe_Dauman') 1.0"", ""keyPerson('Viacom_(original)', 'Philippe_Dauman') 1.0""]","[""not_keyPerson('Viacom_International', 'Philippe_Dauman') 1.0"", ""not_keyPerson('Viacom_International_Media_Networks', 'Philippe_Dauman') 1.0"", ""not_keyPerson('Philippe_Dauman', 'Viacom') 1.0"", ""not_keyPerson('Philippe_Dauman', 'Viacom_(original)') 1.0"", ""not_keyPerson('Viacom_Media_Networks', 'Philippe_Dauman') 1.0"", ""not_keyPerson('Philippe_Dauman__1', 'Viacom') 1.0"", ""not_keyPerson('Philippe_Dauman__1', 'Viacom_(original)') 1.0"", ""not_keyPerson('Viacom_(original)', 'Philippe_Dauman') 1.0"", ""not_keyPerson('Viacom_18', 'Philippe_Dauman') 1.0"", ""not_keyPerson('Viacom', 'Philippe_Dauman') 1.0""]"
184,"['Viking_Range', 'Fred_Carl,_Jr.']","[""keyPerson('Viking_Range', 'Fred_Carl,_Jr.') 1.0""]","[""not_keyPerson('Viking_Range', 'Fred_Carl,_Jr.') 1.0""]"
185,"['Vodafone', 'Vittorio_Colao']","[""keyPerson('Vodafone', 'Vittorio_Colao') 1.0"", ""keyPerson('Vodafone_Global_Enterprise', 'Vittorio_Colao') 1.0"", ""keyPerson('Vodafone_Automotive', 'Vittorio_Colao') 1.0""]","[""not_keyPerson('Vodafone', 'Vittorio_Colao') 1.0"", ""not_keyPerson('Vittorio_Colao', 'Vodafone') 1.0"", ""not_keyPerson('Vodafone_Global_Enterprise', 'Vittorio_Colao') 1.0"", ""not_keyPerson('Vodafone_Automotive', 'Vittorio_Colao') 1.0""]"
186,"['Volkswagen', 'Martin_Winterkorn']","[""keyPerson('Volkswagen_Group', 'Martin_Winterkorn') 1.0"", ""keyPerson('Volkswagen_AG', 'Martin_Winterkorn') 1.0"", ""keyPerson('Volkswagen_Commercial_Vehicles', 'Martin_Winterkorn') 1.0"", ""keyPerson('Volkswagen', 'Martin_Winterkorn') 1.0""]","[""not_keyPerson('Volkswagen_AG', 'Martin_Winterkorn') 1.0"", ""not_keyPerson('Volkswagen_Group', 'Martin_Winterkorn') 1.0"", ""not_keyPerson('Volkswagen_Commercial_Vehicles', 'Martin_Winterkorn') 1.0"", ""not_keyPerson('Volkswagen', 'Martin_Winterkorn') 1.0""]"
187,"['Vulcan_Inc.', 'Paul_Allen']","[""keyPerson('Vulcan_Inc.', 'Paul_Allen') 1.0""]","[""not_keyPerson('Vulcan_Inc.', 'Paul_Allen') 1.0""]"
190,"['Walmart', 'Mike_Duke']","[""keyPerson('Walmart', 'Mike_Duke') 1.0""]","[""not_keyPerson('Walmart', 'Mike_Duke') 1.0""]"
193,"['Wells_Fargo', 'John_Stumpf']","[""keyPerson('Wells_Fargo', 'John_Stumpf') 1.0"", ""keyPerson('Wells_Fargo_Rail', 'John_Stumpf') 1.0"", ""keyPerson('John_Stumpf', 'Wells_Fargo') 1.0"", ""keyPerson('John_Stumpf', 'Wells_Fargo_Rail') 1.0""]","[""not_keyPerson('Wells_Fargo', 'John_Stumpf') 1.0"", ""not_keyPerson('Wells_Fargo_Rail', 'John_Stumpf') 1.0"", ""not_keyPerson('John_Stumpf', 'Wells_Fargo') 1.0"", ""not_keyPerson('John_Stumpf', 'Wells_Fargo_Rail') 1.0""]"
194,"['Whole_Foods_Market', 'John_Mackey_(businessman)']","[""keyPerson('Whole_Foods_Market', 'John_Mackey_(businessman)') 1.0""]","[""not_keyPerson('Whole_Foods_Market', 'John_Mackey_(businessman)') 1.0""]"
196,"['Winn-Dixie', 'Peter_Lynch']","[""keyPerson('Winn-Dixie', 'Peter_Lynch') 1.0""]","[""not_keyPerson('Winn-Dixie', 'Peter_Lynch') 1.0""]"
197,"['Wipro', 'T_K_Kurien']","[""keyPerson('Wipro', 'T_K_Kurien') 1.0""]","[""not_keyPerson('Wipro', 'T_K_Kurien') 1.0""]"
198,"['WWE', 'Vince_McMahon']","[""keyPerson('Vince_McMahon,_Sr.', 'WWE') 1.0"", ""keyPerson('WWE', 'Vince_McMahon,_Sr.') 1.0"", ""keyPerson('WWE', 'Vince_McMahon_Sr.') 1.0"", ""keyPerson('Vince_McMahon_Sr.__1', 'WWE') 1.0"", ""keyPerson('Vince_McMahon__1', 'WWE') 1.0"", ""keyPerson('WWE', 'Vince_McMahon') 1.0""]","[""not_keyPerson('WWE', 'Vince_McMahon') 1.0"", ""not_keyPerson('WWE', 'Vince_McMahon_Sr.') 1.0"", ""not_keyPerson('Vince_McMahon_Sr.', 'WWE') 1.0"", ""not_keyPerson('WWE', 'Vince_McMahon,_Sr.') 1.0"", ""not_keyPerson('Vince_McMahon,_Sr.', 'WWE') 1.0"", ""not_keyPerson('Vince_McMahon', 'WWE') 1.0"", ""not_keyPerson('Vince_McMahon_Sr.__1', 'WWE') 1.0"", ""not_keyPerson('Vince_McMahon__1', 'WWE') 1.0""]"
199,"['Yahoo!', 'Marissa_Mayer']","[""keyPerson('List_of_Yahoo!-owned_sites_and_services', 'Marissa_Mayer') 1.0"", ""keyPerson('Yahoo!_Messenger', 'Marissa_Mayer') 1.0"", ""keyPerson('Yahoo!_Answers', 'Marissa_Mayer') 1.0"", ""keyPerson('List_of_acquisitions_by_Yahoo!', 'Marissa_Mayer') 1.0"", ""keyPerson('Yahoo!_Search', 'Marissa_Mayer') 1.0"", ""keyPerson('Yahoo!_Mail', 'Marissa_Mayer') 1.0"", ""keyPerson('Yahoo!_News', 'Marissa_Mayer') 1.0"", ""keyPerson('Yahoo!_Sports', 'Marissa_Mayer') 1.0"", ""keyPerson('Yahoo!', 'Marissa_Mayer') 1.0"", ""keyPerson('Yahoo!_Finance', 'Marissa_Mayer') 1.0""]","[""not_keyPerson('Yahoo!_Sports', 'Marissa_Mayer') 1.0"", ""not_keyPerson('Yahoo!_Messenger', 'Marissa_Mayer') 1.0"", ""not_keyPerson('Yahoo!_Mail', 'Marissa_Mayer') 1.0"", ""not_keyPerson('Yahoo!_Answers', 'Marissa_Mayer') 1.0"", ""not_keyPerson('Yahoo!', 'Marissa_Mayer') 1.0"", ""not_keyPerson('Yahoo!_News', 'Marissa_Mayer') 1.0"", ""not_keyPerson('Yahoo!_Finance', 'Marissa_Mayer') 1.0"", ""not_keyPerson('Yahoo!_Search', 'Marissa_Mayer') 1.0"", ""not_keyPerson('List_of_Yahoo!-owned_sites_and_services', 'Marissa_Mayer') 1.0"", ""not_keyPerson('List_of_acquisitions_by_Yahoo!', 'Marissa_Mayer') 1.0""]"
200,"['YG_Entertainment', 'Yang_Hyun-suk']","[""keyPerson('YG_Entertainment', 'Yang_Hyun-suk') 1.0""]","[""not_keyPerson('YG_Entertainment', 'Yang_Hyun-suk') 1.0""]"
201,"['Yum!_Brands', 'David_C._Novak']","[""keyPerson('Yum!_Brands', 'David_C._Novak') 1.0""]","[""not_keyPerson('Yum!_Brands', 'David_C._Novak') 1.0""]"
4,"['Adobe_Systems', 'Shantanu_Narayen']",[],[]
5,"['Agenus', 'Garo_H._Armen']",[],[]
18,"['Banco_Bilbao_Vizcaya_Argentaria', 'Francisco_Gonz\xc3\xa1lez_(banker)']",[],[]
33,"['Cavium', 'Syed_B._Ali']",[],[]
44,"['Deutsche_Bank', 'Juergen_Fitschen']",[],[]
52,"['Electronic_Arts', 'Andrew_Wilson_(businessman)']",[],[]
63,"['Gerdau', 'Andr\xc3\xa9_Bier_Gerdau_Johannpeter']",[],[]
78,"['IKEA', 'Mikael_Ohlsson']",[],[]
81,"['InterCall', 'Scott_Etzler']",[],[]
82,"['J.Crew', 'Mickey_Drexler']",[],[]
83,"['Juniper_Networks', 'Kevin_Johnson_(executive)']",[],[]
106,"['Nike,_Inc.', 'Mark_Parker']",[],[]
118,"['Popular,_Inc.', 'Richard_Carri\xc3\xb3n']",[],[]
119,"['Prudential_Financial', 'John_Strangfeld']",[],[]
128,"['The_Royal_Bank_of_Scotland', 'Ross_McEwan']",[],[]
130,"['Saab_Automobile', 'Jan-\xc3\x85ke_Jonsson']",[],[]
131,"['SandRidge_Energy', 'Tom_L._Ward']",[],[]
136,"['Scottrade', 'Rodger_O._Riney']",[],[]
138,"['Simon_Property_Group', 'David_Simon_(CEO)']",[],[]
139,"['Singtel', 'Chua_Sock_Koong']",[],[]
141,"['Sleep_Country_Canada', 'Stephen_K._Gunn']",[],[]
145,"['Sony_Computer_Entertainment', 'Andrew_House']",[],[]
162,"['Tim_Hortons', 'Paul_D._House']",[],[]
164,"[""Tod's"", 'Diego_Della_Valle']",[],[]
165,"['TJX_Companies', 'Carol_Meyrowitz']",[],[]
172,"['TradeKing', 'Donato_A._Montanaro']",[],[]
173,"['Turner_Broadcasting_System', 'Philip_I._Kent']",[],[]
175,"['UAL_Corporation', 'Glenn_Tilton']",[],[]
177,"['U.S._Century_Bank', 'Octavio_Hern\xc3\xa1ndez']",[],[]
178,"['United_Parcel_Service', 'Scott_Davis_(businessman)']",[],[]
179,"['UGI_Corporation', 'Lon_R._Greenberg']",[],[]
181,"['Valero_Energy', 'William_R._Klesse']",[],[]
189,"['Walgreens', 'Gregory_Wasson']",[],[]
191,"['Warner_Bros.', 'Barry_Meyer']",[],[]
195,"['Williams-Sonoma', 'Laura_J._Alber']",[],[]
