id,triple,True Positive,False Positive
110,"['Nintendo', 'Satoru_Iwata']","[""keyPerson('Nintendo_Network_Service_Database', 'Satoru_Iwata') 1.0"", ""keyPerson('Nintendo_Entertainment_Planning_&_Development', 'Satoru_Iwata') 1.0"", ""keyPerson('Nintendo', 'Satoru_Iwata') 1.0"", ""keyPerson('Nintendo_Software_Technology', 'Satoru_Iwata') 1.0"", ""keyPerson('Nintendo_Platform_Technology_Development', 'Satoru_Iwata') 1.0"", ""keyPerson('Nintendo_European_Research_&_Development', 'Satoru_Iwata') 1.0""]","[""not_keyPerson('Nintendo_European_Research_&_Development', 'Satoru_Iwata') 1.0"", ""not_keyPerson('Nintendo_Entertainment_Planning_&_Development', 'Satoru_Iwata') 1.0"", ""not_keyPerson('Nintendo_Software_Technology', 'Satoru_Iwata') 1.0"", ""not_keyPerson('Nintendo', 'Satoru_Iwata') 1.0"", ""not_keyPerson('Nintendo_Network_Service_Database', 'Satoru_Iwata') 1.0"", ""not_keyPerson('Nintendo_Platform_Technology_Development', 'Satoru_Iwata') 1.0""]"
107,"['Nokia', 'Rajeev_Suri']","[""keyPerson('Nokia_Networks', 'Rajeev_Suri') 1.0"", ""keyPerson('Nokia', 'Rajeev_Suri') 1.0""]","[""not_keyPerson('Nokia_Networks', 'Rajeev_Suri') 1.0"", ""not_keyPerson('Nokia_Technologies', 'Rajeev_Suri') 1.0"", ""not_keyPerson('Nokia_Bell_Labs', 'Rajeev_Suri') 1.0""]"
108,"['Nortel', 'Mike_S._Zafirovski']","[""keyPerson('Nortel', 'Mike_S._Zafirovski') 1.0""]","[""not_keyPerson('Nortel', 'Mike_S._Zafirovski') 1.0""]"
109,"['Novartis', 'Daniel_Vasella']","[""keyPerson('Novartis', 'Daniel_Vasella') 1.0""]","[""not_keyPerson('Novartis', 'Daniel_Vasella') 1.0""]"
111,"['Oracle_Corporation', 'Larry_Ellison']","[""keyPerson('Oracle_Corporation', 'Larry_Ellison') 1.0""]","[""not_keyPerson('Oracle_Corporation', 'Larry_Ellison') 1.0""]"
113,"['Outback_Steakhouse', 'Chris_T._Sullivan']","[""keyPerson('Outback_Steakhouse', 'Chris_T._Sullivan') 1.0""]","[""not_keyPerson('Outback_Steakhouse', 'Chris_T._Sullivan') 1.0""]"
114,"['PepsiCo', 'Indra_Nooyi']","[""keyPerson('PepsiCo', 'Indra_Nooyi') 1.0""]","[""not_keyPerson('PepsiCo', 'Indra_Nooyi') 1.0"", ""not_keyPerson('List_of_assets_owned_by_PepsiCo', 'Indra_Nooyi') 1.0""]"
115,"['Pizza_Hut', 'David_C._Novak']","[""keyPerson('Pizza_Hut', 'David_C._Novak') 1.0""]","[""not_keyPerson('Pizza_Hut', 'David_C._Novak') 1.0""]"
116,"['Playboy_Enterprises', 'Christie_Hefner']","[""keyPerson('Playboy_Enterprises', 'Christie_Hefner') 1.0""]","[""not_keyPerson('Playboy_Enterprises', 'Christie_Hefner') 1.0""]"
120,"['Qantas', 'Alan_Joyce_(executive)']","[""keyPerson('QantasLink', 'Alan_Joyce_(executive)') 1.0"", ""keyPerson('Qantas', 'Alan_Joyce_(executive)') 1.0"", ""keyPerson('Qantas_Freight', 'Alan_Joyce_(executive)') 1.0""]","[""not_keyPerson('QantasLink', 'Alan_Joyce_(executive)') 1.0"", ""not_keyPerson('Qantas', 'Alan_Joyce_(executive)') 1.0"", ""not_keyPerson('Qantas_Freight', 'Alan_Joyce_(executive)') 1.0""]"
121,"['Qwest', 'Richard_Notebaert']","[""keyPerson('Qwest_Corporation', 'Richard_Notebaert') 1.0"", ""keyPerson('Qwest', 'Richard_Notebaert') 1.0""]","[""not_keyPerson('Qwest_Corporation', 'Richard_Notebaert') 1.0"", ""not_keyPerson('Qwest', 'Richard_Notebaert') 1.0"", ""not_keyPerson('Qwest_Wireless', 'Richard_Notebaert') 1.0""]"
117,"['Ralph_Lauren_Corporation', 'Ralph_Lauren']","[""keyPerson('Ralph_Lauren_Corporation', 'David_Lauren') 1.0"", ""keyPerson('Ralph_Lauren_Corporation', 'Dylan_Lauren') 1.0"", ""keyPerson('Ralph_Lauren_Corporation', 'Ralph_Lauren') 1.0"", ""keyPerson('Ralph_Lauren_Corporation', 'Stefan_Larsson_(businessman)') 1.0""]","[""not_keyPerson('Ralph_Lauren_Corporation', 'David_Lauren') 1.0"", ""not_keyPerson('Ralph_Lauren_Corporation', 'Dylan_Lauren') 1.0"", ""not_keyPerson('Ralph_Lauren_Corporation', 'Ralph_Lauren') 1.0""]"
122,"['Reliance_Anil_Dhirubhai_Ambani_Group', 'Anil_Ambani']","[""keyPerson('Reliance_Anil_Dhirubhai_Ambani_Group', 'Anil_Ambani') 1.0""]","[""not_keyPerson('Reliance_Anil_Dhirubhai_Ambani_Group', 'Anil_Ambani') 1.0""]"
123,"['Reliance_Industries', 'Mukesh_Ambani']","[""keyPerson('Reliance_Industries', 'Mukesh_Ambani') 1.0""]","[""not_keyPerson('Reliance_Industries', 'Mukesh_Ambani') 1.0""]"
124,"['Renault', 'Carlos_Ghosn']","[""keyPerson('Renault', 'Carlos_Ghosn') 1.0"", ""keyPerson('Renault_Sport', 'Carlos_Ghosn') 1.0"", ""keyPerson('Renault-Nissan_Alliance', 'Carlos_Ghosn') 1.0""]","[""not_keyPerson('Renault_Sport', 'Carlos_Ghosn') 1.0"", ""not_keyPerson('Renault', 'Carlos_Ghosn') 1.0""]"
125,"['Rocawear', 'Jay_Z']",[],"[""not_keyPerson('Rocawear', 'Jay_Z') 1.0""]"
17,"['BAE_Systems', 'Ian_King_(BAE_Systems)']","[""keyPerson('Ian_King_(BAE_Systems)__1', 'Michael_Turner_(businessman)') 1.0"", ""keyPerson('BAE_Systems', 'Ian_King_(BAE_Systems)') 1.0"", ""keyPerson('Marconi_Electronic_Systems', 'Ian_King_(BAE_Systems)') 1.0"", ""keyPerson('London', 'Ian_King_(BAE_Systems)') 1.0"", ""keyPerson('BAE_Systems_Australia', 'Ian_King_(BAE_Systems)') 1.0"", ""keyPerson('British_Aerospace', 'Ian_King_(BAE_Systems)') 1.0"", ""keyPerson('Ian_King_(BAE_Systems)__1', 'Ian_King_(BAE_Systems)') 1.0"", ""keyPerson('Portsmouth', 'Ian_King_(BAE_Systems)') 1.0"", ""keyPerson('BAE_Systems_Inc.', 'Ian_King_(BAE_Systems)') 1.0""]","[""not_keyPerson('Rover_Group', 'Ian_King_(BAE_Systems)') 1.0"", ""not_keyPerson('BAE_Systems_Electronics,_Intelligence_&_Support', 'Ian_King_(BAE_Systems)') 1.0"", ""not_keyPerson('BAE_Systems_Inc.', 'Ian_King_(BAE_Systems)') 1.0"", ""not_keyPerson('Ian_King_(BAE_Systems)__1', 'Michael_Turner_(businessman)') 1.0"", ""not_keyPerson('BAE_Systems_Australia', 'Ian_King_(BAE_Systems)') 1.0"", ""not_keyPerson('Ian_King_(BAE_Systems)__1', 'British_Aircraft_Corporation') 1.0"", ""not_keyPerson('BAE_Systems_Detica', 'Ian_King_(BAE_Systems)') 1.0"", ""not_keyPerson('Ian_King_(BAE_Systems)__1', 'Hawker_Siddeley_Aviation') 1.0"", ""not_keyPerson('BAE_Systems', 'Ian_King_(BAE_Systems)') 1.0"", ""not_keyPerson('Marconi_Electronic_Systems', 'Ian_King_(BAE_Systems)') 1.0"", ""not_keyPerson('Ian_King_(BAE_Systems)__1', 'Scottish_Aviation') 1.0"", ""not_keyPerson('BAE_Systems_Land_&_Armaments', 'Ian_King_(BAE_Systems)') 1.0"", ""not_keyPerson('Ian_King_(BAE_Systems)__1', 'Hawker_Siddeley_Dynamics') 1.0""]"
127,"['Royal_Bank_of_Canada', 'Gordon_Nixon']","[""keyPerson('Royal_Bank_of_Canada', 'Gordon_Nixon') 1.0""]","[""not_keyPerson('Royal_Bank_of_Canada', 'Gordon_Nixon') 1.0""]"
129,"['Royal_Dutch_Shell', 'Ben_van_Beurden']","[""keyPerson('Royal_Dutch_Shell', 'Ben_van_Beurden') 1.0""]","[""not_keyPerson('Royal_Dutch_Shell', 'Ben_van_Beurden') 1.0""]"
104,"['News_Corporation', 'Rupert_Murdoch']","[""keyPerson('News_Corporation', 'Rupert_Murdoch') 1.0""]","[""not_keyPerson('Rupert_Murdoch__1', 'News_Corporation') 1.0"", ""not_keyPerson('News_Corporation', 'Rupert_Murdoch') 1.0""]"
132,"['Samsung', 'Lee_Kun-hee']","[""keyPerson('Samsung', 'Lee_Kun-hee') 1.0"", ""keyPerson('Samsung_Life_Insurance', 'Lee_Kun-hee') 1.0"", ""keyPerson('Samsung_Electronics', 'Lee_Kun-hee') 1.0"", ""keyPerson('Samsung_Fire_&_Marine_Insurance', 'Lee_Kun-hee') 1.0"", ""keyPerson('Samsung_C&T_Corporation', 'Lee_Kun-hee') 1.0"", ""keyPerson('Samsung_Heavy_Industries', 'Lee_Kun-hee') 1.0""]","[""not_keyPerson('Samsung_Life_Insurance', 'Lee_Kun-hee') 1.0"", ""not_keyPerson('Samsung_Electronics', 'Lee_Kun-hee') 1.0"", ""not_keyPerson('Samsung_Fire_&_Marine_Insurance', 'Lee_Kun-hee') 1.0"", ""not_keyPerson('Samsung_Medison', 'Lee_Kun-hee') 1.0"", ""not_keyPerson('Samsung_C&T_Corporation', 'Lee_Kun-hee') 1.0"", ""not_keyPerson('Samsung_SDS', 'Lee_Kun-hee') 1.0"", ""not_keyPerson('Samsung_Sports', 'Lee_Kun-hee') 1.0"", ""not_keyPerson('Samsung_Heavy_Industries', 'Lee_Kun-hee') 1.0"", ""not_keyPerson('Samsung', 'Lee_Kun-hee') 1.0""]"
133,"['SAP_SE', 'Bill_McDermott']","[""keyPerson('SAP_SE', 'Bill_McDermott') 1.0""]","[""not_keyPerson('SAP_SE', 'Bill_McDermott') 1.0""]"
134,"['SAS_Institute', 'James_Goodnight']","[""keyPerson('SAS_Institute', 'James_Goodnight') 1.0""]","[""not_keyPerson('SAS_Institute', 'James_Goodnight') 1.0""]"
137,"['Seagate_Technology', 'Stephen_J._Luczo']","[""keyPerson('Seagate_Technology', 'Stephen_J._Luczo') 1.0""]","[""not_keyPerson('Seagate_Technology', 'Stephen_J._Luczo') 1.0""]"
140,"['Sirius_Satellite_Radio', 'Mel_Karmazin']","[""keyPerson('Sirius_Satellite_Radio', 'Mel_Karmazin') 1.0""]","[""not_keyPerson('Sirius_Satellite_Radio', 'Mel_Karmazin') 1.0""]"
143,"['Sonic_Drive-In', 'J._Clifford_Hudson']","[""keyPerson('Sonic_Drive-In', 'J._Clifford_Hudson') 1.0""]","[""not_keyPerson('Sonic_Drive-In', 'J._Clifford_Hudson') 1.0""]"
144,"['Sony', 'Kazuo_Hirai']","[""keyPerson('Sony', 'Kazuo_Hirai') 1.0""]","[""not_keyPerson('Sony_Corporation_shareholders_and_subsidiaries', 'Kazuo_Hirai') 1.0""]"
146,"['Starbucks', 'Howard_Schultz']","[""keyPerson('Starbucks', 'Howard_Schultz') 1.0""]","[""not_keyPerson('Starbucks', 'Howard_Schultz') 1.0""]"
147,"['Statoil', 'Helge_Lund']","[""keyPerson('Statoil', 'Helge_Lund') 1.0""]","[""not_keyPerson('Statoil', 'Helge_Lund') 1.0""]"
153,"['Sulekha', 'Satya_Prabhakar']","[""keyPerson('Sulekha', 'Satya_Prabhakar') 1.0""]","[""not_keyPerson('Sulekha', 'Satya_Prabhakar') 1.0""]"
148,"['Sun_Hung_Kai_Properties', 'Walter_Kwok']","[""keyPerson('Sun_Hung_Kai_Properties', 'Walter_Kwok') 1.0""]","[""not_keyPerson('Sun_Hung_Kai_Properties', 'Walter_Kwok') 1.0""]"
149,"['Sun_Microsystems', 'Jonathan_I._Schwartz']","[""keyPerson('Sun_Microsystems', 'Jonathan_I._Schwartz') 1.0""]","[""not_keyPerson('Sun_Microsystems', 'Jonathan_I._Schwartz') 1.0""]"
150,"['Sun_Pharmaceutical', 'Dilip_Shanghvi']","[""keyPerson('Sun_Pharmaceuticals', 'Dilip_Shanghvi') 1.0"", ""keyPerson('Sun_Pharmaceutical', 'Dilip_Shanghvi') 1.0""]","[""not_keyPerson('Sun_Pharmaceutical', 'Dilip_Shanghvi') 1.0""]"
151,"['SunTrust_Banks', 'James_M._Wells,_III']","[""keyPerson('SunTrust_Banks', 'James_M._Wells,_III') 1.0""]","[""not_keyPerson('SunTrust_Banks', 'James_M._Wells,_III') 1.0""]"
152,"['SuperValu_(United_States)', 'Jeff_Noddle']","[""keyPerson('SuperValu_(United_States)', 'Jeff_Noddle') 1.0""]","[""not_keyPerson('SuperValu_(United_States)', 'Jeff_Noddle') 1.0""]"
155,"['Target_Corporation', 'Gregg_Steinhafel']","[""keyPerson('Target_Corporation', 'Gregg_Steinhafel') 1.0""]","[""not_keyPerson('Target_Corporation', 'Gregg_Steinhafel') 1.0""]"
156,"['Tata_Consultancy_Services', 'Natarajan_Chandrasekaran']","[""keyPerson('Tata_Consultancy_Services', 'Natarajan_Chandrasekaran') 1.0""]","[""not_keyPerson('Tata_Consultancy_Services', 'Natarajan_Chandrasekaran') 1.0""]"
158,"['Telmex', 'Carlos_Slim']","[""keyPerson('Telmex', 'Carlos_Slim') 1.0"", ""keyPerson('Telmex', 'Carlos_Slim_Domit') 1.0""]","[""not_keyPerson('Telmex', 'Carlos_Slim') 1.0"", ""not_keyPerson('Telmex', 'Carlos_Slim_Domit') 1.0""]"
159,"['Telstra', 'David_Thodey']","[""keyPerson('Telstra', 'David_Thodey') 1.0"", ""keyPerson('Telstra_Corporate_Centre', 'David_Thodey') 1.0""]","[""not_keyPerson('Telstra_Corporate_Centre', 'David_Thodey') 1.0"", ""not_keyPerson('Telstra', 'David_Thodey') 1.0""]"
160,"['Temasek_Holdings', 'Ho_Ching']","[""keyPerson('Temasek_Holdings', 'Ho_Ching') 1.0""]","[""not_keyPerson('Temasek_Holdings', 'Ho_Ching') 1.0""]"
161,"['Tesco', 'Philip_Clarke_(businessman)']","[""keyPerson('Tesco', 'Philip_Clarke_(businessman)') 1.0""]","[""not_keyPerson('Tesco_Bank', 'Philip_Clarke_(businessman)') 1.0"", ""not_keyPerson('Tesco', 'Philip_Clarke_(businessman)') 1.0"", ""not_keyPerson('Tesco_Kipa', 'Philip_Clarke_(businessman)') 1.0"", ""not_keyPerson('Tesco_Mobile', 'Philip_Clarke_(businessman)') 1.0"", ""not_keyPerson('Tesco_Ireland', 'Philip_Clarke_(businessman)') 1.0""]"
24,"['The_Blackstone_Group', 'Stephen_A._Schwarzman']","[""keyPerson('The_Blackstone_Group', 'Stephen_A._Schwarzman') 1.0""]","[""not_keyPerson('The_Blackstone_Group', 'Stephen_A._Schwarzman') 1.0""]"
168,"['The_Travelers_Companies', 'Jay_S._Fishman']","[""keyPerson('The_Travelers_Companies', 'Jay_S._Fishman') 1.0""]","[""not_keyPerson('The_Travelers_Companies', 'Jay_S._Fishman') 1.0""]"
169,"['The_Trump_Organization', 'Donald_Trump']","[""keyPerson('The_Trump_Organization', 'Donald_Trump') 1.0"", ""keyPerson('The_Trump_Organization', 'Donald_Trump_Jr.') 1.0""]","[""not_keyPerson('The_Trump_Organization', 'Donald_Trump') 1.0"", ""not_keyPerson('The_Trump_Organization', 'Donald_Trump_Jr.') 1.0""]"
170,"['Toyota', 'Hiroshi_Okuda']","[""keyPerson('Toyota_Industries', 'Hiroshi_Okuda') 1.0"", ""keyPerson('Toyota', 'Hiroshi_Okuda') 1.0""]","[""not_keyPerson('Toyota_Industries', 'Hiroshi_Okuda') 1.0"", ""not_keyPerson('Toyota', 'Hiroshi_Okuda') 1.0""]"
171,"['Toys_for_Bob', 'Paul_Reiche_III']","[""keyPerson('Toys_for_Bob', 'Paul_Reiche_III') 1.0""]","[""not_keyPerson('Toys_for_Bob', 'Paul_Reiche_III') 1.0""]"
166,"['Tracinda', 'Kirk_Kerkorian']","[""keyPerson('Tracinda', 'Kirk_Kerkorian') 1.0""]","[""not_keyPerson('Tracinda', 'Kirk_Kerkorian') 1.0""]"
174,"['Twitter', 'Dick_Costolo']","[""keyPerson('Twitter', 'Dick_Costolo') 1.0""]","[""not_keyPerson('Twitter', 'Dick_Costolo') 1.0""]"
180,"['U.S._Steel', 'John_P._Surma']","[""keyPerson('U.S._Steel_Tower', 'John_P._Surma') 1.0"", ""keyPerson('U.S._Steel', 'John_P._Surma') 1.0""]","[""not_keyPerson('U.S._Steel_Tower', 'John_P._Surma') 1.0"", ""not_keyPerson('U.S._Steel', 'John_P._Surma') 1.0""]"
182,"['Verizon_Communications', 'Lowell_McAdam']","[""keyPerson('Verizon_Communications', 'Lowell_McAdam') 1.0""]","[""not_keyPerson('Verizon_Communications', 'Lowell_McAdam') 1.0""]"
183,"['Viacom', 'Philippe_Dauman']","[""keyPerson('Viacom_International', 'Philippe_Dauman') 1.0"", ""keyPerson('Viacom_International_Media_Networks', 'Philippe_Dauman') 1.0"", ""keyPerson('Viacom_18', 'Philippe_Dauman') 1.0"", ""keyPerson('Viacom', 'Philippe_Dauman') 1.0"", ""keyPerson('Viacom_(original)', 'Philippe_Dauman') 1.0"", ""keyPerson('Viacom_Media_Networks', 'Philippe_Dauman') 1.0""]","[""not_keyPerson('Viacom_International', 'Philippe_Dauman') 1.0"", ""not_keyPerson('Viacom_18', 'Philippe_Dauman') 1.0"", ""not_keyPerson('Viacom', 'Philippe_Dauman') 1.0"", ""not_keyPerson('Viacom_International_Media_Networks', 'Philippe_Dauman') 1.0"", ""not_keyPerson('Viacom_Media_Networks', 'Philippe_Dauman') 1.0"", ""not_keyPerson('Philippe_Dauman__1', 'Viacom_(original)') 1.0"", ""not_keyPerson('Viacom_(original)', 'Philippe_Dauman') 1.0""]"
184,"['Viking_Range', 'Fred_Carl,_Jr.']","[""keyPerson('Viking_Range', 'Fred_Carl,_Jr.') 1.0""]","[""not_keyPerson('Viking_Range', 'Fred_Carl,_Jr.') 1.0""]"
185,"['Vodafone', 'Vittorio_Colao']","[""keyPerson('Vodafone_Global_Enterprise', 'Vittorio_Colao') 1.0"", ""keyPerson('Vodafone', 'Vittorio_Colao') 1.0""]","[""not_keyPerson('Vodafone', 'Vittorio_Colao') 1.0"", ""not_keyPerson('Vodafone_Automotive', 'Vittorio_Colao') 1.0"", ""not_keyPerson('Vodafone_Global_Enterprise', 'Vittorio_Colao') 1.0""]"
186,"['Volkswagen', 'Martin_Winterkorn']","[""keyPerson('Volkswagen_Commercial_Vehicles', 'Martin_Winterkorn') 1.0"", ""keyPerson('Volkswagen', 'Martin_Winterkorn') 1.0"", ""keyPerson('Volkswagen_AG', 'Martin_Winterkorn') 1.0"", ""keyPerson('Volkswagen_Group', 'Martin_Winterkorn') 1.0""]","[""not_keyPerson('Volkswagen_Commercial_Vehicles', 'Martin_Winterkorn') 1.0"", ""not_keyPerson('Volkswagen', 'Martin_Winterkorn') 1.0"", ""not_keyPerson('Volkswagen_Group', 'Martin_Winterkorn') 1.0""]"
187,"['Vulcan_Inc.', 'Paul_Allen']","[""keyPerson('Vulcan_Inc.', 'Paul_Allen') 1.0""]","[""not_keyPerson('Vulcan_Inc.', 'Paul_Allen') 1.0""]"
190,"['Walmart', 'Mike_Duke']","[""keyPerson('Walmart', 'Mike_Duke') 1.0""]","[""not_keyPerson('Walmart', 'Mike_Duke') 1.0""]"
193,"['Wells_Fargo', 'John_Stumpf']","[""keyPerson('Wells_Fargo', 'John_Stumpf') 1.0"", ""keyPerson('Wells_Fargo_Rail', 'John_Stumpf') 1.0""]","[""not_keyPerson('Wells_Fargo', 'John_Stumpf') 1.0"", ""not_keyPerson('Wells_Fargo_Rail', 'John_Stumpf') 1.0""]"
194,"['Whole_Foods_Market', 'John_Mackey_(businessman)']","[""keyPerson('Whole_Foods_Market', 'John_Mackey_(businessman)') 1.0""]","[""not_keyPerson('Whole_Foods_Market', 'John_Mackey_(businessman)') 1.0""]"
196,"['Winn-Dixie', 'Peter_Lynch']","[""keyPerson('Winn-Dixie', 'Peter_Lynch') 1.0""]","[""not_keyPerson('Winn-Dixie', 'Peter_Lynch') 1.0""]"
197,"['Wipro', 'T_K_Kurien']","[""keyPerson('Wipro', 'T_K_Kurien') 1.0""]","[""not_keyPerson('Wipro', 'T_K_Kurien') 1.0""]"
198,"['WWE', 'Vince_McMahon']","[""keyPerson('WWE', 'Vince_McMahon') 1.0"", ""keyPerson('WWE', 'Vince_McMahon_Sr.') 1.0""]","[""not_keyPerson('WWE', 'Vince_McMahon_Sr.') 1.0"", ""not_keyPerson('WWE', 'Vince_McMahon') 1.0""]"
200,"['YG_Entertainment', 'Yang_Hyun-suk']","[""keyPerson('YG_Entertainment', 'Yang_Hyun-suk') 1.0""]","[""not_keyPerson('YG_Entertainment', 'Yang_Hyun-suk') 1.0""]"
201,"['Yum!_Brands', 'David_C._Novak']","[""keyPerson('Yum!_Brands', 'David_C._Novak') 1.0""]","[""not_keyPerson('Yum!_Brands', 'David_C._Novak') 1.0""]"
4,"['Adobe_Systems', 'Shantanu_Narayen']","[""keyPerson('Adobe_Systems', 'Shantanu_Narayen') 1.0""]",[]
6,"['Alliance_Boots', 'Stefano_Pessina']","[""keyPerson('Alliance_Boots', 'Stefano_Pessina') 1.0""]",[]
14,"['Apple_Inc.', 'Tim_Cook']","[""keyPerson('Apple_Inc.', 'Tim_Cook') 1.0""]",[]
25,"['BHP_Billiton', 'Andrew_Mackenzie_(businessman)']","[""keyPerson('BHP_Billiton', 'Andrew_Mackenzie_(businessman)') 1.0""]",[]
30,"['Canonical_(company)', 'Jane_Silber']","[""keyPerson('Canonical_(company)', 'Jane_Silber') 1.0""]",[]
31,"['Capital_One', 'Richard_Fairbank']","[""keyPerson('Capital_One', 'Richard_Fairbank') 1.0""]",[]
32,"['Caterpillar_Inc.', 'Douglas_R._Oberhelman']","[""keyPerson('Caterpillar_Inc.', 'Douglas_R._Oberhelman') 1.0""]",[]
45,"['Deutsche_Bank', 'Anshu_Jain']","[""keyPerson('Deutsche_Bank', 'Anshu_Jain') 1.0"", ""keyPerson('Deutsche_Bank_Twin_Towers', 'Anshu_Jain') 1.0""]",[]
60,"['FUBU', 'Daymond_John']","[""keyPerson('FUBU', 'Daymond_John') 1.0""]",[]
69,"['GVK_(conglomerate)', 'Gunupati_Venkata_Krishna_Reddy']","[""keyPerson('GVK_(conglomerate)', 'Gunupati_Venkata_Krishna_Reddy') 1.0""]",[]
75,"['Honeywell', 'David_M._Cote']","[""keyPerson('Honeywell', 'David_M._Cote') 1.0""]",[]
49,"['Kodak', 'Jeff_Clarke_(businessman)']","[""keyPerson('Kodak', 'Jeff_Clarke_(businessman)') 1.0""]",[]
86,"['Land_Securities', 'Robert_Noel_(businessman)']","[""keyPerson('Land_Securities', 'Robert_Noel_(businessman)') 1.0""]",[]
94,"['MGA_Entertainment', 'Isaac_Larian']","[""keyPerson('MGA_Entertainment', 'Isaac_Larian') 1.0""]",[]
96,"['Mile_High_Comics', 'Chuck_Rozanski']","[""keyPerson('Mile_High_Comics', 'Chuck_Rozanski') 1.0""]",[]
135,"['Sbarro', 'James_J._Greco']","[""keyPerson('Sbarro', 'James_J._Greco') 1.0"", ""keyPerson('Sbarro_restaurant_suicide_bombing', 'James_J._Greco') 1.0""]",[]
142,"['SoftBank', 'Masayoshi_Son']","[""keyPerson('SoftBank', 'Masayoshi_Son') 1.0""]",[]
154,"['Syntel', 'Bharat_Desai']","[""keyPerson('Syntel', 'Bharat_Desai') 1.0""]",[]
167,"['The_Siegel_Group', 'Steve_Siegel']","[""keyPerson('The_Siegel_Group', 'Steve_Siegel') 1.0""]",[]
188,"['The_Walt_Disney_Company', 'Bob_Iger']","[""keyPerson('The_Walt_Disney_Company', 'Bob_Iger') 1.0""]",[]
176,"['UBS', 'Sergio_Ermotti']","[""keyPerson('UBS', 'Sergio_Ermotti') 1.0""]",[]
5,"['Agenus', 'Garo_H._Armen']",[],[]
18,"['Banco_Bilbao_Vizcaya_Argentaria', 'Francisco_Gonz\xc3\xa1lez_(banker)']",[],[]
33,"['Cavium', 'Syed_B._Ali']",[],[]
40,"['ConAgra_Foods', 'Gary_Rodkin']",[],[]
44,"['Deutsche_Bank', 'Juergen_Fitschen']",[],[]
52,"['Electronic_Arts', 'Andrew_Wilson_(businessman)']",[],[]
63,"['Gerdau', 'Andr\xc3\xa9_Bier_Gerdau_Johannpeter']",[],[]
78,"['IKEA', 'Mikael_Ohlsson']",[],[]
81,"['InterCall', 'Scott_Etzler']",[],[]
82,"['J.Crew', 'Mickey_Drexler']",[],[]
83,"['Juniper_Networks', 'Kevin_Johnson_(executive)']",[],[]
93,"['MetLife', 'C._Robert_Henrikson']",[],[]
106,"['Nike,_Inc.', 'Mark_Parker']",[],[]
118,"['Popular,_Inc.', 'Richard_Carri\xc3\xb3n']",[],[]
119,"['Prudential_Financial', 'John_Strangfeld']",[],[]
128,"['The_Royal_Bank_of_Scotland', 'Ross_McEwan']",[],[]
130,"['Saab_Automobile', 'Jan-\xc3\x85ke_Jonsson']",[],[]
131,"['SandRidge_Energy', 'Tom_L._Ward']",[],[]
136,"['Scottrade', 'Rodger_O._Riney']",[],[]
138,"['Simon_Property_Group', 'David_Simon_(CEO)']",[],[]
139,"['Singtel', 'Chua_Sock_Koong']",[],[]
141,"['Sleep_Country_Canada', 'Stephen_K._Gunn']",[],[]
145,"['Sony_Computer_Entertainment', 'Andrew_House']",[],[]
162,"['Tim_Hortons', 'Paul_D._House']",[],[]
164,"[""Tod's"", 'Diego_Della_Valle']",[],[]
165,"['TJX_Companies', 'Carol_Meyrowitz']",[],[]
172,"['TradeKing', 'Donato_A._Montanaro']",[],[]
173,"['Turner_Broadcasting_System', 'Philip_I._Kent']",[],[]
175,"['UAL_Corporation', 'Glenn_Tilton']",[],[]
177,"['U.S._Century_Bank', 'Octavio_Hern\xc3\xa1ndez']",[],[]
178,"['United_Parcel_Service', 'Scott_Davis_(businessman)']",[],[]
179,"['UGI_Corporation', 'Lon_R._Greenberg']",[],[]
181,"['Valero_Energy', 'William_R._Klesse']",[],[]
189,"['Walgreens', 'Gregory_Wasson']",[],[]
191,"['Warner_Bros.', 'Barry_Meyer']",[],[]
195,"['Williams-Sonoma', 'Laura_J._Alber']",[],[]
